PRECINCT,SB18_LIEBERMAN,SB18_FOSTER,SB18_DE_LA_TORRE,SB18_TAHVILDARAN_JESSWEIN,SB18_THANAWALLA,SB18TOT,REG18,SB18_BALLOTS
6250001A,381,234,295,323,228,1461,996,752
6250003C,407,280,312,367,226,1592,1079,796
6250005A,559,400,480,490,303,2232,1479,1064
6250006A,493,365,423,435,235,1951,1146,830
6250008A,431,316,364,390,220,1721,1183,867
6250009A,283,219,247,236,207,1192,1468,619
6250010E,374,281,343,345,223,1566,1220,864
6250011A,415,315,339,363,247,1679,1320,802
6250015B,518,349,422,440,295,2024,1404,1008
6250016A,562,415,460,463,328,2228,1568,1091
6250017A,507,346,380,427,282,1942,1389,1011
6250019C,419,332,370,380,286,1787,1789,962
6250020A,425,339,375,366,214,1719,1256,851
6250024A,280,211,262,245,171,1169,845,528
6250025B,424,341,450,358,276,1849,1389,865
6250026A,550,382,487,471,304,2194,1343,974
6250029A,301,198,238,267,206,1210,797,574
6250032A,511,386,443,464,266,2070,1408,959
6250034A,555,373,453,479,283,2143,1377,975
6250036B,525,379,455,449,269,2077,1416,941
6250041A,517,375,448,470,299,2109,1606,1006
6250045A,550,382,490,473,286,2181,1568,976
6250046A,545,382,451,477,256,2111,1471,1005
6250050A,429,326,407,390,209,1761,1172,806
6250051A,523,400,485,449,259,2116,1503,961
6250052B,374,269,330,302,220,1495,1241,736
6250053A,508,384,451,430,287,2060,1543,948
6250060A,275,205,322,256,211,1269,1092,599
6250061A,402,306,422,353,225,1708,1266,727
6250062A,310,234,360,289,182,1375,1110,624
6250067A,538,383,503,470,283,2177,1436,994
6250069A,547,377,472,474,281,2151,1301,939
6250070A,472,375,375,432,239,1893,1174,834
6250071A,353,284,396,330,202,1565,1135,667
6250072A,614,427,523,547,335,2446,1547,1097
6250076B,391,295,350,378,236,1650,981,733
6250078A,364,266,310,305,205,1450,969,711
6250081A,489,359,428,434,267,1977,1307,887
6250083A,536,351,441,479,275,2082,1280,929
6250085A,495,359,441,452,299,2046,1345,960
6250089A,549,374,440,504,320,2187,1321,977
6250092A,565,356,500,480,243,2144,1353,936
6250094B,440,308,363,389,228,1728,1210,829
6250095A,502,397,433,443,283,2058,1548,993
6250098A,518,345,439,442,255,1999,1438,977
6250106A,562,394,485,496,283,2220,1524,993
6250107A,498,372,422,423,237,1952,1306,905
6250110D,414,299,362,345,203,1623,1141,778
6250113A,597,480,515,532,336,2460,1679,1155
6250121B,511,399,458,442,297,2107,1759,1041
6250125A,513,332,379,448,267,1939,1227,906
6250127A,510,355,459,433,235,1992,1252,871
6250128A,393,229,288,340,188,1438,938,681
6250128C,39,28,22,35,20,144,71,61
