PRECINCT,CC18_HIMMELRICH,CC18_POWELL,CC18_NERI,CC18_MCKEOWN,CC18_MORENA,CC18_OCONNOR,CC18_BELLOMO,CC18TOT,REG18,CC18_BALLOTS
6250001A,346,160,140,244,305,178,196,1569,996,755
6250003C,333,175,174,249,319,178,215,1643,1079,799
6250005A,520,205,168,420,441,243,197,2194,1479,1068
6250006A,436,187,121,378,365,211,161,1859,1146,835
6250008A,402,188,144,309,336,188,190,1757,1183,868
6250009A,277,148,83,197,208,150,107,1170,1468,622
6250010E,409,164,109,324,343,186,145,1680,1220,867
6250011A,379,188,113,299,330,218,147,1674,1320,807
6250015B,446,188,205,383,379,249,261,2111,1404,1011
6250016A,533,246,203,398,425,253,223,2281,1568,1098
6250017A,448,228,243,307,360,254,273,2113,1389,1012
6250019C,455,244,151,337,348,237,169,1941,1789,965
6250020A,434,186,115,320,334,179,148,1716,1256,857
6250024A,260,144,47,222,218,167,62,1120,845,529
6250025B,436,217,98,353,352,245,106,1807,1389,869
6250026A,474,223,118,425,453,242,164,2099,1343,975
6250029A,258,113,131,189,222,126,162,1201,797,575
6250032A,475,203,159,357,376,241,192,2003,1408,958
6250034A,495,200,142,406,404,242,175,2064,1377,978
6250036B,500,193,137,379,392,228,152,1981,1416,942
6250041A,532,223,127,398,417,220,156,2073,1606,1010
6250045A,513,222,124,410,411,260,130,2070,1568,978
6250046A,520,222,125,421,440,234,135,2097,1471,1008
6250050A,434,177,81,375,336,210,86,1699,1172,805
6250051A,500,218,120,422,419,244,154,2077,1503,965
6250052B,342,191,91,271,266,194,114,1469,1241,738
6250053A,501,233,117,383,385,255,127,2001,1543,953
6250060A,269,173,78,216,227,175,100,1238,1092,601
6250061A,397,165,73,351,347,177,86,1596,1266,729
6250062A,299,157,74,235,289,161,84,1299,1110,626
6250067A,540,228,126,411,446,226,164,2141,1436,1000
6250069A,511,225,123,409,392,268,142,2070,1301,941
6250070A,415,174,125,387,389,200,157,1847,1174,836
6250071A,349,153,57,293,300,191,69,1412,1135,668
6250072A,564,232,137,503,448,265,192,2341,1547,1099
6250076B,348,156,92,321,372,181,133,1603,981,735
6250078A,310,156,73,266,327,167,77,1376,969,714
6250081A,503,203,113,408,391,206,136,1960,1307,890
6250083A,494,205,119,416,409,228,151,2022,1280,929
6250085A,488,187,133,424,439,250,167,2088,1345,965
6250089A,508,200,180,439,450,253,235,2265,1321,984
6250092A,484,214,108,436,441,247,145,2075,1353,938
6250094B,430,156,115,358,358,177,150,1744,1210,833
6250095A,493,192,162,382,406,220,196,2051,1548,997
6250098A,535,210,97,411,370,231,137,1991,1438,983
6250106A,542,234,145,440,438,240,147,2186,1524,997
6250107A,468,209,112,371,385,217,159,1921,1306,911
6250110D,398,169,97,313,319,163,116,1575,1141,780
6250113A,612,273,164,469,439,283,192,2432,1679,1156
6250121B,538,248,128,401,394,236,177,2122,1759,1044
6250125A,422,158,180,330,386,216,217,1909,1227,907
6250127A,509,178,95,399,402,227,116,1926,1252,873
6250128A,309,128,126,241,276,146,175,1401,938,684
6250128C,26,6,14,30,30,21,15,142,71,61
