PRECINCT,CB16_QUINONES_PEREZ,CB16_ROY,CB16_RADER,CB16_AMINOFF,CB16TOT,REG16,CB16_BALLOTS
6250001A,243,265,302,326,1136,980,820
6250003C,274,267,329,396,1266,1104,913
6250005A,407,351,460,491,1709,1407,1137
6250006A,381,337,381,414,1513,1203,974
6250008A,340,294,360,376,1370,1225,957
6250010E,359,289,342,417,1407,1341,1009
6250011A,369,310,369,403,1451,1311,976
6250015B,358,363,385,458,1564,1406,1100
6250016A,455,384,467,522,1828,1551,1174
6250017A,376,368,405,439,1588,1397,1105
6250019A,427,371,395,498,1691,1843,1203
6250020A,334,281,356,382,1353,1213,934
6250024A,274,197,238,274,983,884,701
6250025B,404,312,323,374,1413,1362,930
6250026A,409,391,388,447,1635,1335,1069
6250029A,199,206,224,266,895,803,661
6250032A,368,350,402,431,1551,1333,1008
6250034A,379,362,431,476,1648,1373,1078
6250036B,423,313,424,451,1611,1390,1021
6250041A,412,333,387,466,1598,1557,1101
6250045A,452,296,467,444,1659,1473,1094
6250046A,387,308,371,461,1527,1417,1053
6250050A,361,281,327,379,1348,1191,877
6250051A,393,342,363,401,1499,1446,1084
6250052B,353,227,312,360,1252,1168,801
6250053A,399,309,418,425,1551,1528,1091
6250056A,238,223,247,256,964,1333,722
6250060A,293,207,260,280,1040,1068,691
6250061A,447,275,339,386,1447,1189,805
6250062A,376,230,274,307,1187,1074,743
6250067A,438,330,399,460,1627,1419,1113
6250069A,401,327,385,442,1555,1281,1026
6250070A,366,337,370,428,1501,1179,903
6250071A,356,229,279,359,1223,1102,730
6250072A,485,409,474,520,1888,1461,1157
6250076B,256,335,278,312,1181,927,773
6250078A,271,251,257,304,1083,945,816
6250081A,374,306,354,415,1449,1290,961
6250083A,370,401,362,450,1583,1287,1028
6250085A,400,358,374,440,1572,1359,1027
6250089A,390,402,422,464,1678,1347,1091
6250092A,437,369,438,457,1701,1355,1017
6250094B,324,302,320,361,1307,1168,935
6250095A,407,340,417,475,1639,1490,1097
6250098A,402,348,403,473,1626,1403,1111
6250106A,431,332,406,489,1658,1469,1065
6250107A,376,327,396,429,1528,1300,993
6250110D,356,276,327,378,1337,1120,871
6250113A,448,374,427,504,1753,1642,1222
6250121A,457,405,411,490,1763,1716,1194
6250125A,285,308,324,390,1307,1204,882
6250127A,416,297,398,425,1536,1266,994
6250128A,235,242,276,295,1048,931,749
