PRECINCT,SB14_LIEBERMAN,SB14_MAY,SB14_MECHUR,SB14_DE_LA_TORRE,SB14_TAHVILDARAN_JESSWEIN,SB14_FOSTER,SB14_FINER,SB14TOT,REG14,SB14_BALLOTS
6250001A,233,66,187,174,162,154,73,1049,948,532
6250003C,310,67,241,197,222,195,88,1320,1057,588
6250005A,283,74,248,224,241,166,82,1318,1286,594
6250006A,291,101,213,214,245,177,92,1333,1177,614
6250008A,255,85,176,181,188,166,87,1138,1241,559
6250010E,249,79,176,184,190,151,84,1113,1210,508
6250011A,222,98,180,169,184,152,87,1092,1229,512
6250015B,352,89,288,263,276,214,109,1591,1363,725
6250016A,303,85,239,229,239,196,97,1388,1449,659
6250017A,354,96,278,217,246,279,112,1582,1352,780
6250019A,213,80,168,170,175,154,82,1042,1561,492
6250020A,236,81,180,197,175,165,98,1132,1168,532
6250024A,154,59,106,131,126,107,53,736,836,317
6250025B,153,72,108,187,141,110,61,832,1227,363
6250026A,359,111,296,283,291,199,117,1656,1289,709
6250029A,189,58,157,119,143,121,63,850,797,417
6250032A,241,60,207,202,179,159,86,1134,1236,536
6250034A,270,84,191,197,221,171,82,1216,1283,583
6250036B,246,90,188,196,190,171,87,1168,1287,521
6250041A,236,102,196,205,221,157,78,1195,1452,527
6250045A,223,101,161,187,206,163,90,1131,1352,495
6250046A,277,84,196,205,200,155,86,1203,1393,558
6250050A,220,69,169,192,182,114,58,1004,1115,436
6250051A,248,95,186,194,184,172,102,1181,1368,563
6250052B,143,56,106,136,115,76,67,699,1024,326
6250053A,188,88,134,160,161,142,82,955,1408,461
6250056A,78,44,60,68,61,57,35,403,1110,200
6250060A,149,68,117,150,112,109,66,771,999,307
6250061A,173,75,115,207,165,118,78,931,1081,375
6250062A,164,76,119,187,123,113,69,851,980,345
6250067A,225,41,191,182,200,114,43,996,1033,452
6250068D,127,42,96,102,98,83,43,591,643,262
6250069A,280,79,235,224,228,157,99,1302,1256,592
6250070A,326,84,271,231,283,182,69,1446,1168,561
6250071A,169,67,123,159,144,102,64,828,1039,346
6250072A,434,129,331,302,346,243,112,1897,1389,793
6250076B,247,63,215,206,227,166,60,1184,932,491
6250078A,176,64,136,146,157,123,54,856,908,394
6250081A,253,107,201,212,218,169,84,1244,1215,549
6250083A,356,89,275,244,274,201,74,1513,1273,633
6250085A,286,109,232,236,243,196,87,1389,1359,621
6250089A,444,125,367,327,365,248,124,2000,1288,820
6250092A,306,102,260,274,256,176,94,1468,1332,596
6250094B,191,54,154,163,182,128,54,926,1053,465
6250095A,294,112,195,203,219,174,106,1303,1439,610
6250098A,259,82,223,201,221,160,86,1232,1315,573
6250106A,229,78,177,191,195,123,70,1063,1066,464
6250107A,309,77,257,229,241,156,93,1362,1263,634
6250110D,200,76,167,175,160,113,66,957,1010,455
6250113A,254,93,190,191,190,169,97,1184,1536,580
6250121A,260,95,194,208,199,168,93,1217,1415,554
6250125A,311,68,238,203,250,188,87,1345,1224,627
6250127A,265,86,220,233,222,158,84,1268,1174,543
6250128A,253,53,176,133,211,179,66,1071,934,526
6250128C,24,4,18,19,15,19,12,111,83,54
