ID,RO_E15,RO_G15,RO_TOTAL,P_RO_E15,P_RO_G15,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP
C01001,93,166,259,0.359073359,0.640926641,0.264539011,0.07943262,0.012765959,0.63475177
C01002,75,179,254,0.295275591,0.704724409,0.117337997,0.145359039,0.00583771,0.716287205
C01003,149,120,269,0.553903346,0.446096654,0.633199451,0.020080322,0.036813924,0.292503359
C01004,145,132,277,0.523465704,0.476534296,0.545203592,0.017943409,0.035196689,0.385093164
C01005,144,73,217,0.66359447,0.33640553,0.757744239,0.060365371,0.038919777,0.116759334
C01006,144,146,290,0.496551724,0.503448276,0.474137924,0.056366055,0.025862069,0.424403183
C01007,79,107,186,0.424731183,0.575268817,0.503030301,0.061818182,0.021818182,0.398787881
C01008,158,111,269,0.587360595,0.412639405,0.608256138,0.146588022,0.03285594,0.192923317
C01009,106,158,264,0.401515152,0.598484848,0.325051763,0.039337474,0.051759834,0.566252586
C01010,138,88,226,0.610619469,0.389380531,0.67062108,0.026517795,0.048848569,0.21284019
C01011,149,104,253,0.588932806,0.411067194,0.787746169,0.032093362,0.045951859,0.110138589
C01012,139,161,300,0.463333333,0.536666667,0.849999997,0.015333333,0.029333332,0.086000005
C01013,40,81,121,0.330578512,0.669421488,0.287298389,0.013104839,0.02217742,0.65927419
C01014,147,123,270,0.544444444,0.455555556,0.604134755,0.107197551,0.095712098,0.164624816
C01015,85,171,256,0.33203125,0.66796875,0.509105296,0.038796517,0.026920033,0.405384013
C01016,64,164,228,0.280701754,0.719298246,0.338999999,0.018,0.022,0.602000001
C01017,83,168,251,0.330677291,0.669322709,0.284655287,0.082283174,0.005189029,0.613788003
C01018,104,185,289,0.359861592,0.640138408,0.36350975,0.105849584,0.014623956,0.487465178
C01019,126,262,388,0.324742268,0.675257732,0.325437115,0.033840947,0.025944727,0.601240831
C01020,72,166,238,0.302521008,0.697478992,0.361913355,0.129061374,0.017148014,0.463898918
C01021,154,78,232,0.663793103,0.336206897,0.787091975,0.02744807,0.0652819,0.09718102
C01022,68,99,167,0.407185629,0.592814371,0.23896353,0.036468329,0.031669865,0.679462577
C01023,155,240,395,0.392405063,0.607594937,0.457587996,0.054818234,0.0271206,0.437391809
C01024,55,145,200,0.275,0.725,0.171724141,0.260689651,0.007586207,0.538620693
C01025,77,124,201,0.383084577,0.616915423,0.381473377,0.167760759,0.024070022,0.401167031
C01026,39,159,198,0.196969697,0.803030303,0.078853047,0.060931901,0.003584229,0.847311825
C01027,118,129,247,0.477732794,0.522267206,0.397270123,0.030172414,0.028017242,0.515804589
C01028,51,82,133,0.383458647,0.616541353,0.094949571,0.450504999,0.006060618,0.430302992
C01029,139,118,257,0.540856031,0.459143969,0.464653902,0.038291606,0.038291605,0.43078056
C01030,83,227,310,0.267741935,0.732258065,0.192331478,0.10575139,0.010513296,0.679035252
C01031,123,156,279,0.440860215,0.559139785,0.289491994,0.104384133,0.041057759,0.540013922
C01032,138,126,264,0.522727273,0.477272727,0.637715168,0.013302035,0.032863848,0.302816914
C01033,140,142,282,0.496453901,0.503546099,0.492819841,0.04373368,0.0345953,0.411879899
C01034,86,149,235,0.365957447,0.634042553,0.411478595,0.028210116,0.034046692,0.50875487
C01035,145,154,299,0.484949833,0.515050167,0.54924243,0.015151515,0.031565657,0.381944439
C01036,150,82,232,0.646551724,0.353448276,0.676067067,0.017530488,0.051829268,0.226371957
C01037,132,109,241,0.547717842,0.452282158,0.727125508,0.012955466,0.041295547,0.202429148
C01038,109,162,271,0.402214022,0.597785978,0.53865979,0.043814434,0.0395189,0.34707904
C01039,107,129,236,0.453389831,0.546610169,0.415949962,0.025019546,0.020328381,0.523064894
C01040,165,116,281,0.587188612,0.412811388,0.409176618,0.101194221,0.027027025,0.445003143
C01041,72,120,192,0.375,0.625,0.432918441,0.049792529,0.031811898,0.457814617
C01042,29,62,91,0.318681319,0.681318681,0.435840698,0.033185842,0.046460178,0.466814167
C01043,86,97,183,0.469945355,0.530054645,0.411368021,0.081888249,0.01734104,0.471098259
C01044,87,109,196,0.443877551,0.556122449,0.525369979,0.028541226,0.045454545,0.379492601
C02001,137,114,251,0.545816733,0.454183267,0.56536388,0.045148247,0.056603771,0.315363886
C02002,299,45,344,0.869186047,0.130813953,0.840047383,0.026066357,0.086492892,0.033175361
C02003,176,100,276,0.637681159,0.362318841,0.744477171,0.01767305,0.040500736,0.181885126
