full_text,precinct,ward,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,TOTVOTES,LIGHTFOOT,PRECKWINKLE,P_LIGHT,P_PRECK,
1001,1,1,0.264539011,0.07943262,0.012765959,0.63475177,262,176,86,0.671755725,0.328244275,
1002,2,1,0.117337997,0.145359039,0.00583771,0.716287205,207,134,73,0.647342995,0.352657005,
1003,3,1,0.633199451,0.020080322,0.036813924,0.292503359,278,209,69,0.751798561,0.248201439,
1004,4,1,0.545203592,0.017943409,0.035196689,0.385093163,281,209,72,0.743772242,0.256227758,
1005,5,1,0.757744239,0.060365371,0.038919777,0.116759334,256,186,70,0.7265625,0.2734375,
1006,6,1,0.474137924,0.056366055,0.025862069,0.424403183,236,174,62,0.737288136,0.262711864,
1007,7,1,0.503030301,0.061818182,0.021818182,0.398787881,200,147,53,0.735,0.265,
1008,8,1,0.608256138,0.146588022,0.03285594,0.192923317,264,181,83,0.685606061,0.314393939,
1009,9,1,0.325051763,0.039337474,0.051759834,0.566252586,251,167,84,0.665338645,0.334661355,
1010,10,1,0.67062108,0.026517795,0.048848569,0.21284019,261,209,52,0.800766284,0.199233716,
1011,11,1,0.787746169,0.032093362,0.045951859,0.110138589,277,196,81,0.707581227,0.292418773,
1012,12,1,0.849999997,0.015333333,0.029333332,0.086000005,337,241,96,0.715133531,0.284866469,
1013,13,1,0.287298389,0.013104839,0.02217742,0.65927419,124,82,42,0.661290323,0.338709677,
1014,14,1,0.604134755,0.107197551,0.095712098,0.164624816,259,201,58,0.776061776,0.223938224,
1015,15,1,0.509105296,0.038796517,0.026920033,0.405384013,227,165,62,0.726872247,0.273127753,
1016,16,1,0.338999999,0.018,0.022,0.602000001,301,202,99,0.671096346,0.328903654,
1017,17,1,0.284655287,0.082283174,0.005189029,0.613788003,269,154,115,0.572490706,0.427509294,
1018,18,1,0.36350975,0.105849584,0.014623956,0.487465178,268,161,107,0.600746269,0.399253731,
1019,19,1,0.325437115,0.033840947,0.025944727,0.601240832,304,204,100,0.671052632,0.328947368,
1020,20,1,0.361913355,0.129061374,0.017148014,0.463898918,195,125,70,0.641025641,0.358974359,
1021,21,1,0.787091975,0.02744807,0.0652819,0.09718102,292,211,81,0.72260274,0.27739726,
1022,22,1,0.23896353,0.036468329,0.031669865,0.679462577,169,124,45,0.733727811,0.266272189,
1023,23,1,0.457587996,0.054818234,0.0271206,0.437391809,378,245,133,0.648148148,0.351851852,
1024,24,1,0.171724141,0.26068965,0.007586207,0.538620693,216,139,77,0.643518519,0.356481481,
1025,25,1,0.381473377,0.167760759,0.024070022,0.401167031,235,154,81,0.655319149,0.344680851,
1026,26,1,0.078853047,0.060931901,0.003584229,0.847311825,174,113,61,0.649425287,0.350574713,
