PRECINCT,TOTVOTES,MCGONAGLE,PULEO,TOT_ALDAA,P_MCGON,P_PULEO,CARDELLO,MATEWSKY,TOT_ALDW1,P_CARDELLO,P_MATEWSKY,MANGAN,SIMONELLI,TOT_ALDW2,P_MANGAN,P_SIMONELLI,BANIEWICZ,MACLAUGHLIN,SMITH,COLLINS,PHILLIPS,SANTAGATE,TOT_SCOMAA,P_BANIEWICZ,P_MACLAUGHLIN,P_SMITH,P_COLLINS,P_PHILLIPS,P_SANTAGATE,PANARESE,CORNELIO,TOT_SCOMW1,P_PANARESE,P_CORNELIO,GUILIANO,LAMONICA,TOT_SCOMW2,P_GUILIANO,P_LAMONICA,PARKER,MAGNO,TOT_SCOMW3,P_PARKER,P_MAGNO,ELA,INTERNICOLA,TOT_SCOMW4,P_ELA,P_INTERNICOLA,COLARUSSO,SHALSI,TOT_SCOMW5,P_COLARUSSO,P_SHALSI,CARRIERO,SPAULDING,TOT_SCOMW6,P_CARRIERO,P_SPAULDING
Ward 1 Precinct 1,370,220,103,323,0.681114551,0.318885449,139,215,354,0.392655367,0.607344633,183,112,295,0.620338983,0.379661017,147,162,149,82,101,111,752,0.195478723,0.215425532,0.198138298,0.109042553,0.134308511,0.147606383,146,157,303,0.481848185,0.518151815,124,155,279,0.444444444,0.555555556,144,120,264,0.545454545,0.454545455,165,101,266,0.620300752,0.379699248,168,94,262,0.641221374,0.358778626,156,104,260,0.6,0.4
Ward 1 Precinct 2,262,127,98,225,0.564444444,0.435555556,133,112,245,0.542857143,0.457142857,130,88,218,0.596330275,0.403669725,100,97,116,65,62,89,529,0.189035917,0.183364839,0.219281664,0.122873346,0.117202268,0.168241966,105,116,221,0.475113122,0.524886878,98,105,203,0.482758621,0.517241379,98,95,193,0.507772021,0.492227979,112,80,192,0.583333333,0.416666667,125,72,197,0.634517766,0.365482234,100,90,190,0.526315789,0.473684211
Ward 1 Precinct 3,355,201,89,290,0.693103448,0.306896552,155,184,339,0.457227139,0.542772861,157,118,275,0.570909091,0.429090909,110,124,135,55,82,108,614,0.179153094,0.201954397,0.219869707,0.089576547,0.133550489,0.175895765,158,135,293,0.539249147,0.460750853,145,114,259,0.55984556,0.44015444,138,112,250,0.552,0.448,136,109,245,0.555102041,0.444897959,182,73,255,0.71372549,0.28627451,149,98,247,0.603238866,0.396761134
Ward 2 Precinct 1,330,188,101,289,0.650519031,0.349480969,177,121,298,0.593959732,0.406040268,153,154,307,0.498371336,0.501628664,141,151,132,66,84,82,656,0.214939024,0.230182927,0.201219512,0.100609756,0.12804878,0.125,129,135,264,0.488636364,0.511363636,139,143,282,0.492907801,0.507092199,169,96,265,0.637735849,0.362264151,163,103,266,0.612781955,0.387218045,173,89,262,0.660305344,0.339694656,153,98,251,0.609561753,0.390438247
Ward 2 Precinct 2,311,195,86,281,0.693950178,0.306049822,152,134,286,0.531468531,0.468531469,141,134,275,0.512727273,0.487272727,126,137,130,72,67,86,618,0.203883495,0.221682848,0.210355987,0.116504854,0.108414239,0.139158576,135,110,245,0.551020408,0.448979592,127,128,255,0.498039216,0.501960784,148,89,237,0.624472574,0.375527426,137,100,237,0.578059072,0.421940928,139,96,235,0.591489362,0.408510638,128,105,233,0.549356223,0.450643777
Ward 2 Precinct 3,286,159,92,251,0.633466135,0.366533865,131,125,256,0.51171875,0.48828125,130,125,255,0.509803922,0.490196078,148,144,109,55,83,75,614,0.241042345,0.234527687,0.17752443,0.089576547,0.135179153,0.122149837,144,95,239,0.60251046,0.39748954,122,128,250,0.488,0.512,159,70,229,0.694323144,0.305676856,149,74,223,0.668161435,0.331838565,157,62,219,0.716894977,0.283105023,138,75,213,0.647887324,0.352112676
Ward 3 Precinct 1,554,298,186,484,0.615702479,0.384297521,255,248,503,0.50695825,0.49304175,249,216,465,0.535483871,0.464516129,244,250,227,122,139,168,1150,0.212173913,0.217391304,0.197391304,0.106086957,0.120869565,0.146086957,270,176,446,0.605381166,0.394618834,182,261,443,0.410835214,0.589164786,291,180,471,0.617834395,0.382165605,270,181,451,0.598669623,0.401330377,294,143,437,0.672768879,0.327231121,254,171,425,0.597647059,0.402352941
Ward 3 Precinct 2,270,169,65,234,0.722222222,0.277777778,122,122,244,0.5,0.5,106,112,218,0.486238532,0.513761468,99,122,123,64,72,79,559,0.177101968,0.218246869,0.220035778,0.114490161,0.128801431,0.141323792,120,98,218,0.550458716,0.449541284,128,87,215,0.595348837,0.404651163,151,79,230,0.656521739,0.343478261,123,88,211,0.582938389,0.417061611,137,71,208,0.658653846,0.341346154,110,96,206,0.533980583,0.466019417
Ward 3 Precinct 3,375,227,105,332,0.68373494,0.31626506,166,169,335,0.495522388,0.504477612,167,152,319,0.523510972,0.476489028,153,153,195,89,79,107,776,0.197164948,0.197164948,0.25128866,0.114690722,0.101804124,0.137886598,151,157,308,0.49025974,0.50974026,144,162,306,0.470588235,0.529411765,202,133,335,0.602985075,0.397014925,158,147,305,0.518032787,0.481967213,174,124,298,0.583892617,0.416107383,159,135,294,0.540816327,0.459183673
Ward 4 Precinct 1,426,256,103,359,0.713091922,0.286908078,189,186,375,0.504,0.496,162,188,350,0.462857143,0.537142857,157,189,191,107,93,146,883,0.177802945,0.214043035,0.216308041,0.121177803,0.105322763,0.165345413,184,155,339,0.542772861,0.457227139,188,155,343,0.548104956,0.451895044,197,153,350,0.562857143,0.437142857,190,159,349,0.544412607,0.455587393,217,121,338,0.642011834,0.357988166,194,136,330,0.587878788,0.412121212
