PRECINCT,TOTVOTES,DEMARIA,NAPOLITANO,TOT_MAYOR,P_DEMARIA,P_NAPOL,MCGONAGLE,PULEO,TOT_ALDAA,P_MCGON,P_PULEO,MANGAN,SIMONELLI,TOT_ALDW2,P_MANGAN,P_SIMONELLI,SACHETTA,ABRUZZESE,TOT_ALDW6,P_SACHETTA,P_ABRUZZESE,BANIEWICZ,MACLAUGHLIN,TOT_SCOMAA,P_BANIE,P_MACL
Ward 1 Precinct 1,414,265,134,399,0.664160401,0.335839599,258,95,353,0.730878187,0.269121813,190,123,313,0.607028754,0.392971246,200,94,294,0.680272109,0.319727891,167,186,353,0.473087819,0.526912181
Ward 1 Precinct 2,274,176,94,270,0.651851852,0.348148148,160,84,244,0.655737705,0.344262295,119,102,221,0.538461538,0.461538462,122,82,204,0.598039216,0.401960784,95,107,202,0.47029703,0.52970297
Ward 1 Precinct 3,371,233,119,352,0.661931818,0.338068182,214,96,310,0.690322581,0.309677419,160,127,287,0.557491289,0.442508711,198,82,280,0.707142857,0.292857143,117,147,264,0.443181818,0.556818182
Ward 2 Precinct 1,347,261,73,334,0.781437126,0.218562874,206,90,296,0.695945946,0.304054054,147,130,277,0.530685921,0.469314079,164,83,247,0.663967611,0.336032389,124,129,253,0.490118577,0.509881423
Ward 2 Precinct 2,323,223,100,323,0.690402477,0.309597523,200,85,285,0.701754386,0.298245614,145,126,271,0.535055351,0.464944649,157,89,246,0.638211382,0.361788618,138,148,286,0.482517483,0.517482517
Ward 2 Precinct 3,299,216,76,292,0.739726027,0.260273973,168,76,244,0.68852459,0.31147541,135,102,237,0.569620253,0.430379747,134,80,214,0.626168224,0.373831776,122,136,258,0.472868217,0.527131783
Ward 3 Precinct 1,606,409,182,591,0.692047377,0.307952623,343,184,527,0.65085389,0.34914611,257,217,474,0.542194093,0.457805907,254,185,439,0.578587699,0.421412301,244,280,524,0.465648855,0.534351145
Ward 3 Precinct 2,279,185,88,273,0.677655678,0.322344322,177,66,243,0.728395062,0.271604938,106,108,214,0.495327103,0.504672897,139,68,207,0.671497585,0.328502415,118,150,268,0.440298507,0.559701493
Ward 3 Precinct 3,405,268,130,398,0.673366834,0.326633166,219,130,349,0.627507163,0.372492837,169,136,305,0.554098361,0.445901639,182,119,301,0.604651163,0.395348837,166,159,325,0.510769231,0.489230769
Ward 4 Precinct 1,464,301,149,450,0.668888889,0.331111111,262,146,408,0.642156863,0.357843137,184,182,366,0.50273224,0.49726776,229,124,353,0.648725212,0.351274788,185,206,391,0.47314578,0.52685422
Ward 4 Precinct 2,372,272,96,368,0.739130435,0.260869565,221,98,319,0.692789969,0.307210031,161,115,276,0.583333333,0.416666667,158,107,265,0.596226415,0.403773585,142,172,314,0.452229299,0.547770701
Ward 4 Precinct 3,321,222,98,320,0.69375,0.30625,169,109,278,0.607913669,0.392086331,129,111,240,0.5375,0.4625,163,80,243,0.670781893,0.329218107,127,144,271,0.468634686,0.531365314
Ward 5 Precinct 1,436,325,104,429,0.757575758,0.242424242,243,140,383,0.634464752,0.365535248,190,131,321,0.591900312,0.408099688,200,130,330,0.606060606,0.393939394,159,184,343,0.463556851,0.536443149
Ward 5 Precinct 2,318,215,90,305,0.704918033,0.295081967,181,95,276,0.655797101,0.344202899,137,105,242,0.566115702,0.433884298,151,94,245,0.616326531,0.383673469,117,139,256,0.45703125,0.54296875
Ward 5 Precinct 3,340,201,134,335,0.6,0.4,212,88,300,0.706666667,0.293333333,139,122,261,0.53256705,0.46743295,180,77,257,0.700389105,0.299610895,118,121,239,0.493723849,0.506276151
Ward 6 Precinct 1,404,280,117,397,0.705289673,0.294710327,212,136,348,0.609195402,0.390804598,160,147,307,0.521172638,0.478827362,210,143,353,0.59490085,0.40509915,163,175,338,0.482248521,0.517751479
Ward 6 Precinct 2,318,189,125,314,0.601910828,0.398089172,191,87,278,0.68705036,0.31294964,125,127,252,0.496031746,0.503968254,159,112,271,0.586715867,0.413284133,108,127,235,0.459574468,0.540425532
Ward 6 Precinct 3,345,238,99,337,0.706231454,0.293768546,186,109,295,0.630508475,0.369491525,141,119,260,0.542307692,0.457692308,173,102,275,0.629090909,0.370909091,97,119,216,0.449074074,0.550925926
