PRECINCT,HICKS,BARRETT,LAMONICA,SMITH,HANLON,DELLISOLA,MARCHESE,MATEWSKY,NAPOLITANO,SARNIE,TOT_CCAL,P_HICKS,P_BARRETT,P_LAMONICA,P_SMITH,P_HANLON,P_DELLISOLA,P_MARCHESE,P_MATEWSKY,P_NAPOLITANO,P_SARNIE,SIMONELLI,MARTINS,TOT_CCW2,P_SIMONELLI,P_MARTINS
Ward 1 Precinct 1,70,32,70,79,141,91,123,163,148,77,994,0.070422535,0.032193159,0.070422535,0.079476861,0.141851107,0.091549296,0.123742455,0.163983903,0.14889336,0.077464789,137,124,261,0.524904215,0.475095785
Ward 1 Precinct 2,66,30,50,64,96,91,119,171,103,69,859,0.076833527,0.034924331,0.058207218,0.074505239,0.111757858,0.105937136,0.138533178,0.199068685,0.119906868,0.08032596,147,89,236,0.622881356,0.377118644
Ward 2 Precinct 1,84,35,74,115,103,85,138,130,101,118,983,0.085452696,0.03560529,0.075279756,0.11698881,0.104781282,0.08646999,0.140386572,0.13224822,0.102746694,0.120040692,140,134,274,0.510948905,0.489051095
Ward 2 Precinct 2,74,30,72,106,99,92,114,124,94,80,885,0.083615819,0.033898305,0.081355932,0.119774011,0.111864407,0.103954802,0.128813559,0.140112994,0.106214689,0.09039548,116,138,254,0.456692913,0.543307087
Ward 3 Precinct 1,119,55,99,154,199,162,208,189,165,164,1514,0.078599736,0.036327609,0.065389696,0.101717305,0.131439894,0.107001321,0.137384412,0.124834875,0.108982827,0.108322325,213,162,375,0.568,0.432
Ward 3 Precinct 2,73,32,68,147,126,124,180,137,111,113,1111,0.065706571,0.02880288,0.061206121,0.132313231,0.113411341,0.111611161,0.162016202,0.123312331,0.099909991,0.101710171,176,130,306,0.575163399,0.424836601
Ward 4 Precinct 1,101,56,105,112,173,149,150,148,137,140,1271,0.079464988,0.044059795,0.082612116,0.088119591,0.136113297,0.117230527,0.118017309,0.116443745,0.107789142,0.110149489,164,172,336,0.488095238,0.511904762
Ward 4 Precinct 2,112,32,57,121,128,101,116,170,112,98,1047,0.106972302,0.030563515,0.054441261,0.11556829,0.122254059,0.096466094,0.110792741,0.162368672,0.106972302,0.093600764,148,129,277,0.534296029,0.465703971
Ward 5 Precinct 1,112,38,76,87,163,129,134,126,132,146,1143,0.097987752,0.033245844,0.066491689,0.076115486,0.142607174,0.112860892,0.117235346,0.11023622,0.115485564,0.127734033,167,136,303,0.551155116,0.448844884
Ward 5 Precinct 2,91,44,90,131,154,113,120,163,133,133,1172,0.077645051,0.037542662,0.076791809,0.111774744,0.131399317,0.096416382,0.102389078,0.139078498,0.113481229,0.113481229,177,129,306,0.578431373,0.421568627
Ward 6 Precinct 1,157,32,58,85,145,146,119,131,82,153,1108,0.141696751,0.028880866,0.05234657,0.076714801,0.130866426,0.131768953,0.107400722,0.118231047,0.07400722,0.138086643,178,123,301,0.591362126,0.408637874
Ward 6 Precinct 2,148,39,50,98,157,111,103,138,92,91,1027,0.144109056,0.037974684,0.048685492,0.095423564,0.152872444,0.108081792,0.100292113,0.134371957,0.089581305,0.088607595,152,135,287,0.529616725,0.470383275
