PRECINCT,SIMONELLI,LAMONICA,NAPOLITANO,ADRIEN,SOLANO,ISOLA,HICKS,HANLON,MARCHESE,MATEWKSY,TOT_CCAL,P_SIMONELLI,P_LAMONICA,P_NAPOLITANO,P_ADRIEN,P_SOLANO,P_ISOLA,P_HICKS,P_HANLON,P_MARCHESE,P_MATEWKSY,MARCUS,MARTINS,TOT_CCW2,P_MARCUS,P_MARTINS,DIFLORIO,NGUYEN,TOT_CCW5,P_DIFLORIO,P_NGUYEN,MCLAUGHLIN,LATTANZI,TOT_CCW6,P_MCLAUGHLIN,P_LATTANZI,LINDSEY,DINUNZIO,SKERRITT,CARDELLO,LAMBERT,SARNIE,TOT_SCAL,P_LINDSEY,P_DINUNZIO,P_SKERRITT,P_CARDELLO,P_LAMBERT,P_SARNIE,PANARESE,RUIZ,TOT_SCW1,P_PANARESE,P_RUIZ,LAMONICA,MESSINA,TOT_SCW2,P_LAMONICA,P_MESSINA,PARKER,SANTACROCE,TOT_SCW3,P_PARKER,P_SANTACROCE,MURRAY,ELA,TOT_SCW4,P_MURRAY,P_ELA,ABRUZZESE,MAVILIO,TOT_SCW6,P_ABRUZZESE,P_MAVILIO
Ward 1 Precinct 1,80,55,160,150,49,116,61,153,127,180,1131,0.070733864,0.048629531,0.141467728,0.132625995,0.043324492,0.102564103,0.053934571,0.135278515,0.112290009,0.159151194,106,194,300,0.353333333,0.646666667,185,107,292,0.633561644,0.366438356,203,117,320,0.634375,0.365625,83,86,94,166,88,122,639,0.129890454,0.13458529,0.147104851,0.259780908,0.13771518,0.190923318,181,95,276,0.655797101,0.344202899,176,91,267,0.65917603,0.34082397,165,113,278,0.59352518,0.40647482,150,101,251,0.597609562,0.402390438,161,99,260,0.619230769,0.380769231
Ward 1 Precinct 2,71,49,113,122,47,88,54,105,114,177,940,0.075531915,0.05212766,0.120212766,0.129787234,0.05,0.093617021,0.057446809,0.111702128,0.121276596,0.188297872,110,146,256,0.4296875,0.5703125,140,109,249,0.562248996,0.437751004,156,104,260,0.6,0.4,69,62,79,126,76,117,529,0.130434783,0.117202268,0.149338374,0.238185255,0.143667297,0.221172023,130,107,237,0.548523207,0.451476793,133,79,212,0.627358491,0.372641509,116,98,214,0.542056075,0.457943925,127,81,208,0.610576923,0.389423077,127,83,210,0.604761905,0.395238095
Ward 2 Precinct 1,88,79,122,154,61,100,70,135,162,158,1129,0.077945084,0.069973428,0.10806023,0.136403897,0.054030115,0.088573959,0.062001771,0.119574845,0.143489814,0.139946856,187,136,323,0.578947368,0.421052632,175,128,303,0.577557756,0.422442244,192,127,319,0.601880878,0.398119122,110,87,81,160,87,134,659,0.166919575,0.132018209,0.122913505,0.242792109,0.132018209,0.203338392,181,95,276,0.655797101,0.344202899,185,83,268,0.690298507,0.309701493,174,100,274,0.635036496,0.364963504,157,90,247,0.63562753,0.36437247,157,103,260,0.603846154,0.396153846
Ward 2 Precinct 2,78,64,127,130,69,113,66,99,127,125,998,0.078156313,0.064128257,0.127254509,0.130260521,0.069138277,0.113226453,0.066132265,0.099198397,0.127254509,0.125250501,139,137,276,0.503623188,0.496376812,146,106,252,0.579365079,0.420634921,173,94,267,0.647940075,0.352059925,94,68,78,131,100,119,590,0.159322034,0.115254237,0.13220339,0.222033898,0.169491525,0.201694915,143,94,237,0.603375527,0.396624473,149,88,237,0.628691983,0.371308017,145,96,241,0.601659751,0.398340249,141,89,230,0.613043478,0.386956522,143,86,229,0.624454148,0.375545852
Ward 3 Precinct 1,116,99,189,202,79,185,82,203,212,221,1588,0.073047859,0.062342569,0.119017632,0.12720403,0.049748111,0.116498741,0.05163728,0.127833753,0.133501259,0.139168766,206,223,429,0.48018648,0.51981352,254,157,411,0.618004866,0.381995134,292,162,454,0.643171806,0.356828194,136,104,154,213,128,205,940,0.144680851,0.110638298,0.163829787,0.226595745,0.136170213,0.218085106,256,141,397,0.644836272,0.355163728,240,144,384,0.625,0.375,266,173,439,0.605922551,0.394077449,229,147,376,0.609042553,0.390957447,238,154,392,0.607142857,0.392857143
Ward 3 Precinct 2,101,64,142,173,58,175,54,163,209,157,1296,0.077932099,0.049382716,0.109567901,0.133487654,0.044753086,0.135030864,0.041666667,0.125771605,0.161265432,0.121141975,158,205,363,0.435261708,0.564738292,207,135,342,0.605263158,0.394736842,225,136,361,0.623268698,0.376731302,100,81,99,158,100,166,704,0.142045455,0.115056818,0.140625,0.224431818,0.142045455,0.235795455,179,147,326,0.549079755,0.450920245,190,131,321,0.591900312,0.408099688,184,174,358,0.51396648,0.48603352,184,116,300,0.613333333,0.386666667,164,146,310,0.529032258,0.470967742
Ward 4 Precinct 1,110,124,170,175,84,173,77,195,184,175,1467,0.074982958,0.084526244,0.115882754,0.11929107,0.057259714,0.117927744,0.052488071,0.132924335,0.12542604,0.11929107,190,208,398,0.477386935,0.522613065,226,173,399,0.56641604,0.43358396,238,177,415,0.573493976,0.426506024,110,105,152,197,142,182,888,0.123873874,0.118243243,0.171171171,0.221846847,0.15990991,0.204954955,236,137,373,0.632707775,0.367292225,251,120,371,0.676549865,0.323450135,225,166,391,0.57544757,0.42455243,199,157,356,0.558988764,0.441011236,229,131,360,0.636111111,0.363888889
Ward 4 Precinct 2,104,82,152,179,72,115,85,137,157,172,1255,0.082868526,0.065338645,0.121115538,0.142629482,0.057370518,0.091633466,0.067729084,0.109163347,0.125099602,0.137051793,121,204,325,0.372307692,0.627692308,173,157,330,0.524242424,0.475757576,224,119,343,0.653061224,0.346938776,118,94,99,161,119,136,727,0.162310867,0.129298487,0.136176066,0.221458047,0.163686382,0.187070151,186,112,298,0.624161074,0.375838926,172,119,291,0.591065292,0.408934708,170,140,310,0.548387097,0.451612903,176,123,299,0.588628763,0.411371237,175,110,285,0.614035088,0.385964912
Ward 5 Precinct 1,91,71,158,179,78,147,111,196,176,146,1353,0.067257945,0.052475979,0.116777531,0.132298596,0.057649667,0.10864745,0.082039911,0.144863267,0.130081301,0.107908352,129,234,363,0.355371901,0.644628099,211,172,383,0.550913838,0.449086162,208,190,398,0.522613065,0.477386935,86,108,105,181,98,200,778,0.110539846,0.138817481,0.13496144,0.232647815,0.12596401,0.257069409,190,137,327,0.581039755,0.418960245,189,131,320,0.590625,0.409375,185,151,336,0.550595238,0.449404762,188,131,319,0.589341693,0.410658307,209,122,331,0.63141994,0.36858006
Ward 5 Precinct 2,110,88,141,177,66,117,85,147,134,150,1215,0.090534979,0.072427984,0.116049383,0.145679012,0.054320988,0.096296296,0.069958848,0.120987654,0.110288066,0.12345679,130,175,305,0.426229508,0.573770492,158,168,326,0.484662577,0.515337423,192,147,339,0.566371681,0.433628319,102,82,93,143,104,153,677,0.150664697,0.1211226,0.137370753,0.211225997,0.153618907,0.225997046,143,125,268,0.53358209,0.46641791,170,96,266,0.639097744,0.360902256,157,115,272,0.577205882,0.422794118,166,91,257,0.645914397,0.354085603,161,116,277,0.581227437,0.418772563
