,PRECINCT,CC_BRODERICK,CC_ELLIOT,CC_MARTIN,CC_MENDONCA,CC_RMERCIER,CC_MILINAZZO,CC_MURPHY,CC_BELANGER,CC_BELLEY,CC_DOYLE,CC_KENNEDY,CC_LEAHY,CC_LORREY,CC_MACDONALD,CC_AMERCIER,CC_NUON,CC_PECH,TOT_CC,SC_CONWAY,SC_DOHERTY,SC_LARABA,SC_LEARY,SC_MARTIN,SC_GIGNAC,SC_ROSSSIT,SC_SCOTT,TOT_SC,PCC_NuonPech,PCC_BRODERICK,PCC_ELLIOT,PCC_MARTIN,PCC_MENDONCA,PCC_RMERCIER,PCC_MILINAZZO,PCC_MURPHY,PCC_BELANGER,PCC_BELLEY,PCC_DOYLE,PCC_KENNEDY,PCC_LEAHY,PCC_LORREY,PCC_MACDONALD,PCC_AMERCIER,PCC_NUON,PCC_PECH,PSC_CONWAY,PSC_DOHERTY,PSC_LARABA,PSC_LEARY,PSC_MARTIN,PSC_GIGNAC,PSC_ROSSSIT,PSC_SCOTT,NAME10,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
0,Lowell Ward 1 Precinct 1,105,100,100,88,146,98,103,79,49,41,95,79,77,66,77,67,29,1399,125,97,92,114,95,91,112,116,842,0.068620443,0.07505361,0.071479628,0.071479628,0.062902073,0.104360257,0.070050036,0.073624017,0.056468906,0.035025018,0.029306648,0.067905647,0.056468906,0.055039314,0.047176555,0.055039314,0.047891351,0.020729092,0.148456057,0.1152019,0.109263658,0.135391924,0.112826603,0.10807601,0.133016627,0.137767221,Lowell Ward 1 Precinct 1,1881.525212,0.225314455,0.623547474,0.096828114,0.054309957
1,Lowell Ward 1 Precinct 2,415,380,479,330,541,397,424,398,224,152,449,431,426,286,296,293,103,6024,565,317,392,484,350,446,518,503,3575,0.065737052,0.068891102,0.063081009,0.079515272,0.054780876,0.089807437,0.065903054,0.070385126,0.066069057,0.037184595,0.025232404,0.074535193,0.071547145,0.070717131,0.04747676,0.049136786,0.048638778,0.017098274,0.158041958,0.088671329,0.10965035,0.135384615,0.097902098,0.124755245,0.144895105,0.140699301,Lowell Ward 1 Precinct 2,2533.055077,0.04298142,0.921471923,0.012409328,0.023137329
2,Lowell Ward 1 Precinct 3,406,334,384,287,396,381,337,291,174,137,320,410,375,257,224,237,111,5061,438,271,315,384,324,351,418,414,2915,0.068761114,0.0802213,0.065994863,0.075874333,0.05670816,0.078245406,0.075281565,0.066587631,0.057498518,0.034380557,0.027069749,0.063228611,0.081011658,0.074096028,0.050780478,0.044260028,0.04682869,0.021932424,0.15025729,0.09296741,0.10806175,0.131732419,0.111149228,0.120411664,0.143396226,0.142024014,Lowell Ward 1 Precinct 3,2191.971868,0.059528936,0.835250312,0.092580846,0.012639906
3,Lowell Ward 2 Precinct 1,47,33,45,28,58,47,37,23,26,19,37,26,23,15,39,34,20,557,43,43,33,46,49,35,37,49,335,0.096947935,0.08438061,0.059245961,0.080789946,0.0502693,0.104129264,0.08438061,0.066427289,0.041292639,0.046678636,0.034111311,0.066427289,0.046678636,0.041292639,0.026929982,0.070017953,0.061041293,0.035906643,0.128358209,0.128358209,0.098507463,0.137313433,0.146268657,0.104477612,0.110447761,0.146268657,Lowell Ward 2 Precinct 1,2887.862561,0.148445805,0.637301091,0.103380457,0.110872646
4,Lowell Ward 2 Precinct 2,35,36,33,29,51,26,32,18,18,14,34,25,22,20,39,65,39,536,40,36,25,40,32,28,33,43,277,0.194029851,0.065298507,0.067164179,0.061567164,0.054104478,0.095149254,0.048507463,0.059701493,0.03358209,0.03358209,0.026119403,0.063432836,0.046641791,0.041044776,0.037313433,0.072761194,0.121268657,0.072761194,0.144404332,0.129963899,0.090252708,0.144404332,0.115523466,0.101083032,0.119133574,0.155234657,Lowell Ward 2 Precinct 2,2549.40412,0.412791999,0.383041949,0.119410312,0.08475574
5,Lowell Ward 2 Precinct 3,149,115,143,121,150,140,152,101,76,41,105,80,106,77,78,121,79,1834,144,138,105,114,121,101,154,159,1036,0.109051254,0.081243184,0.062704471,0.077971647,0.065976009,0.081788441,0.076335878,0.082878953,0.055070883,0.041439477,0.022355507,0.057251908,0.043620502,0.057797165,0.041984733,0.042529989,0.065976009,0.043075245,0.138996139,0.133204633,0.101351351,0.11003861,0.116795367,0.097490347,0.148648649,0.153474903,Lowell Ward 2 Precinct 3,2511.462344,0.247002513,0.570226115,0.082403488,0.100367884
6,Lowell Ward 3 Precinct 1,76,105,72,70,129,53,77,102,69,72,92,90,91,105,91,81,38,1413,118,85,75,116,88,84,113,143,822,0.084217976,0.05378627,0.074309979,0.050955414,0.049539986,0.091295117,0.037508846,0.054493984,0.072186837,0.048832272,0.050955414,0.065109696,0.063694268,0.064401982,0.074309979,0.064401982,0.057324841,0.026893135,0.143552311,0.103406326,0.091240876,0.141119221,0.107055961,0.102189781,0.137469586,0.173965937,Lowell Ward 3 Precinct 1,1970.96543,0.121399264,0.579155374,0.177753554,0.121691808
7,Lowell Ward 3 Precinct 2,44,44,40,46,64,35,46,37,30,28,45,49,41,41,49,94,60,793,73,62,42,58,44,53,58,75,465,0.194199243,0.055485498,0.055485498,0.050441362,0.058007566,0.080706179,0.044136192,0.058007566,0.04665826,0.037831021,0.035308953,0.056746532,0.061790668,0.051702396,0.051702396,0.061790668,0.118537201,0.075662043,0.156989247,0.133333333,0.090322581,0.124731183,0.094623656,0.113978495,0.124731183,0.161290323,Lowell Ward 3 Precinct 2,1792.565845,0.100985181,0.441958197,0.404048088,0.053008534
8,Lowell Ward 3 Precinct 3,73,72,69,70,101,68,76,45,29,40,71,59,45,59,59,126,82,1144,104,77,60,87,70,68,82,85,633,0.181818182,0.063811189,0.062937063,0.060314685,0.061188811,0.088286713,0.059440559,0.066433566,0.039335664,0.02534965,0.034965035,0.062062937,0.051573427,0.039335664,0.051573427,0.051573427,0.11013986,0.071678322,0.164296998,0.12164297,0.09478673,0.137440758,0.110584518,0.107424961,0.129541864,0.134281201,Lowell Ward 3 Precinct 3,1755.93926,0.101513889,0.458896772,0.375593783,0.063995556
9,Lowell Ward 4 Precinct 1,110,112,103,101,168,82,132,83,62,48,98,95,112,109,111,199,102,1827,147,112,103,139,102,124,172,179,1078,0.164750958,0.060207991,0.061302682,0.056376574,0.055281883,0.091954023,0.044882321,0.072249589,0.045429666,0.033935413,0.026272578,0.053639847,0.051997811,0.061302682,0.059660646,0.060755337,0.10892173,0.055829228,0.136363636,0.103896104,0.09554731,0.128942486,0.094619666,0.115027829,0.159554731,0.166048237,Lowell Ward 4 Precinct 1,2253.639954,0.138142616,0.402048086,0.422676643,0.037132656
