,PRECINCT,CC_ELLIOT,CC_KENNEDY,CC_LEAHY,CC_LORREY,CC_MARTIN,CC_MENDONCA,CC_MERCIER,CC_NUON,CC_BELANGER,CC_FDOYLE,CC_GDOYLE,CC_GITSCHIER,CC_HARGIS,CC_MILINAZZO,CC_MITCHELL,CC_VANPECH,CC_ROURKE,CC_SAMARAS,TOT_CC,SC_CONWAY,SC_GIGNAC,SC_LEARY,SC_MARTIN,SC_ROSSSIT,SC_SCOTT,SC_GENDRON,TOT_SC,SC4_BAHOU,SC4_OHARE,SC4_PEOU,TOT_SC4,PCC_NuonPech,PCC_ELLIOT,PCC_KENNEDY,PCC_LEAHY,PCC_LORREY,PCC_MARTIN,PCC_MENDONCA,PCC_MERCIER,PCC_NUON,PCC_BELANGER,PCC_FDOYLE,PCC_GDOYLE,PCC_GITSCHIER,PCC_HARGIS,PCC_MILINAZZO,PCC_MITCHELL,PCC_VANPECH,PCC_ROURKE,PCC_SAMARAS,PSC_CONWAY,PSC_GIGNAC,PSC_LEARY,PSC_MARTIN,PSC_ROSSSIT,PSC_SCOTT,PSC_GENDRON,PSC4_BAHOU,PSC4_OHARE,PSC4_PEOU,NAME10,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
0,Lowell Ward 1 Precinct 1,121,123,113,87,109,96,156,69,106,44,50,79,87,110,94,50,91,100,1685,158,115,153,147,131,126,146,976,139,167,72,378,0.070623145,0.071810089,0.072997033,0.067062315,0.051632047,0.064688427,0.056973294,0.092581602,0.040949555,0.062908012,0.02611276,0.029673591,0.046884273,0.051632047,0.065281899,0.05578635,0.029673591,0.054005935,0.059347181,0.161885246,0.117827869,0.156762295,0.150614754,0.134221311,0.129098361,0.149590164,0.367724868,0.441798942,0.19047619,Lowell Ward 1 Precinct 1,1881.525212,0.225314455,0.623547474,0.096828114,0.054309957
1,Lowell Ward 1 Precinct 2,477,563,504,395,460,296,637,149,501,102,82,375,356,552,385,71,426,461,6792,614,445,597,491,425,438,726,3736,543,640,197,1380,0.032391048,0.070229682,0.082891637,0.074204947,0.058156655,0.067726737,0.043580683,0.093786808,0.021937574,0.073763251,0.015017668,0.012073027,0.055212014,0.052414605,0.081272085,0.056684335,0.010453475,0.062720848,0.067873969,0.164346895,0.119111349,0.159796574,0.131423983,0.11375803,0.117237687,0.194325482,0.393478261,0.463768116,0.142753623,Lowell Ward 1 Precinct 2,2533.055077,0.04298142,0.921471923,0.012409328,0.023137329
2,Lowell Ward 1 Precinct 3,376,447,426,360,414,279,461,140,371,66,71,330,333,505,432,114,345,443,5913,527,398,531,470,393,411,607,3337,482,552,219,1253,0.042956198,0.063588703,0.075596144,0.072044647,0.060882801,0.070015221,0.04718417,0.077963809,0.023676645,0.062743108,0.011161847,0.012007441,0.055809234,0.056316591,0.08540504,0.073059361,0.019279554,0.058346017,0.074919669,0.157926281,0.119268804,0.159124963,0.14084507,0.117770453,0.123164519,0.18189991,0.384676776,0.440542698,0.174780527,Lowell Ward 1 Precinct 3,2191.971868,0.059528936,0.835250312,0.092580846,0.012639906
3,Lowell Ward 2 Precinct 1,37,42,33,26,47,40,52,41,37,12,27,21,44,35,46,37,33,51,661,53,44,55,57,48,49,53,359,47,44,50,141,0.118003026,0.055975794,0.063540091,0.049924357,0.039334342,0.071104387,0.060514372,0.078668684,0.062027231,0.055975794,0.018154312,0.040847201,0.031770045,0.066565809,0.052950076,0.069591528,0.055975794,0.049924357,0.077155825,0.147632312,0.122562674,0.153203343,0.158774373,0.133704735,0.136490251,0.147632312,0.333333333,0.312056738,0.354609929,Lowell Ward 2 Precinct 1,2887.862561,0.148445805,0.637301091,0.103380457,0.110872646
4,Lowell Ward 2 Precinct 2,87,95,53,56,61,65,105,110,46,26,30,39,50,55,66,84,51,60,1139,97,72,93,89,79,83,71,584,79,89,102,270,0.170324846,0.076382792,0.083406497,0.046532046,0.049165935,0.053555751,0.057067603,0.092186128,0.096575944,0.040386304,0.022827041,0.026338894,0.034240562,0.043898156,0.048287972,0.057945566,0.073748903,0.044776119,0.052677788,0.16609589,0.123287671,0.159246575,0.15239726,0.135273973,0.142123288,0.121575342,0.292592593,0.32962963,0.377777778,Lowell Ward 2 Precinct 2,2549.40412,0.412791999,0.383041949,0.119410312,0.08475574
5,Lowell Ward 2 Precinct 3,89,110,80,99,117,114,133,121,98,39,52,61,189,131,210,120,84,121,1968,126,119,135,143,164,154,159,1000,111,128,123,362,0.12245935,0.045223577,0.055894309,0.040650407,0.050304878,0.05945122,0.057926829,0.067581301,0.06148374,0.049796748,0.019817073,0.026422764,0.030995935,0.096036585,0.066565041,0.106707317,0.06097561,0.042682927,0.06148374,0.126,0.119,0.135,0.143,0.164,0.154,0.159,0.306629834,0.35359116,0.339779006,Lowell Ward 2 Precinct 3,2511.462344,0.247002513,0.570226115,0.082403488,0.100367884
6,Lowell Ward 3 Precinct 1,135,118,115,98,98,96,150,95,121,33,33,151,75,113,90,55,132,101,1809,169,129,183,134,125,126,166,1032,201,144,81,426,0.08291874,0.074626866,0.065229409,0.063571034,0.054173577,0.054173577,0.053067993,0.08291874,0.052515202,0.066887783,0.018242123,0.018242123,0.083471531,0.04145937,0.062465451,0.049751244,0.030403538,0.072968491,0.055831951,0.16375969,0.125,0.177325581,0.129844961,0.121124031,0.122093023,0.160852713,0.471830986,0.338028169,0.190140845,Lowell Ward 3 Precinct 1,1970.96543,0.121399264,0.579155374,0.177753554,0.121691808
7,Lowell Ward 3 Precinct 2,70,66,55,50,56,63,95,122,55,29,22,62,51,54,42,89,49,60,1090,104,75,88,81,75,80,88,591,94,78,108,280,0.193577982,0.064220183,0.060550459,0.050458716,0.04587156,0.051376147,0.057798165,0.087155963,0.111926606,0.050458716,0.026605505,0.020183486,0.056880734,0.046788991,0.049541284,0.03853211,0.081651376,0.044954128,0.055045872,0.175972927,0.126903553,0.148900169,0.137055838,0.126903553,0.13536379,0.148900169,0.335714286,0.278571429,0.385714286,Lowell Ward 3 Precinct 2,1792.565845,0.100985181,0.441958197,0.404048088,0.053008534
8,Lowell Ward 3 Precinct 3,89,99,81,75,74,69,108,125,68,46,16,90,42,75,57,91,81,76,1362,130,89,117,102,98,94,110,740,140,90,122,352,0.158590308,0.065345081,0.072687225,0.059471366,0.055066079,0.054331865,0.050660793,0.079295154,0.091776799,0.049926579,0.033773862,0.01174743,0.066079295,0.030837004,0.055066079,0.04185022,0.06681351,0.059471366,0.055800294,0.175675676,0.12027027,0.158108108,0.137837838,0.132432432,0.127027027,0.148648649,0.397727273,0.255681818,0.346590909,Lowell Ward 3 Precinct 3,1755.93926,0.101513889,0.458896772,0.375593783,0.063995556
9,Lowell Ward 4 Precinct 1,157,149,130,129,117,109,196,210,120,44,34,158,105,119,122,180,127,143,2349,215,170,214,174,169,180,188,1310,201,164,221,586,0.166028097,0.066836952,0.063431247,0.055342699,0.054916986,0.049808429,0.046402725,0.083439762,0.089399745,0.051085568,0.018731375,0.014474244,0.067262665,0.044699872,0.050659855,0.051936994,0.076628352,0.05406556,0.060876969,0.164122137,0.129770992,0.163358779,0.132824427,0.129007634,0.13740458,0.14351145,0.343003413,0.279863481,0.377133106,Lowell Ward 4 Precinct 1,2253.639954,0.138142616,0.402048086,0.422676643,0.037132656
