,PRECINCT,CC_MERCIER,CC_ELLIOT,CC_KENNEDY,CC_LEAHY,CC_SAMARAS,CC_MILINAZZO,CC_ROURKE,CC_BELANGER,CC_LEARY,CC_NUON,CC_MENDONCA,CC_CONWAY,CC_YEM,CC_GYS,CC_SO,CC_KHIM,CC_HOGAN,CC_MERRILL,TOT_CC,PCC_NuonYemSoKhim,PSC_LayKay,SC_GENDRON,SC_DOHERTY,SC_MARTIN,SC_HOEY,SC_GIGNAC,SC_DESCOTEAUX,SC_MERCIER,SC_OPARA,SC_ROUX,SC_KAY,SC_FARMER,SC_LAY,TOT_SC,PCC_MERCIER,PCC_ELLIOT,PCC_KENNEDY,PCC_LEAHY,PCC_SAMARAS,PCC_MILINAZZO,PCC_ROURKE,PCC_BELANGER,PCC_LEARY,PCC_NUON,PCC_MENDONCA,PCC_CONWAY,PCC_YEM,PCC_GYS,PCC_SO,PCC_KHIM,PCC_HOGAN,PCC_MERRILL,PSC_GENDRON,PSC_DOHERTY,PSC_MARTIN,PSC_HOEY,PSC_GIGNAC,PSC_DESCOTEAUX,PSC_MERCIER,PSC_OPARA,PSC_ROUX,PSC_KAY,PSC_FARMER,PSC_LAY,NAME10,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
0,Lowell Ward 1 Precinct 1,147,127,123,121,105,109,95,113,94,60,84,101,46,48,29,23,35,22,1482,0.106612686,0.068080357,113,111,117,85,106,73,98,51,39,41,42,20,896,0.099190283,0.085695007,0.082995951,0.081646424,0.070850202,0.073549258,0.064102564,0.076248313,0.0634278,0.04048583,0.056680162,0.068151147,0.031039136,0.032388664,0.019568151,0.015519568,0.023616734,0.014844804,0.126116071,0.123883929,0.130580357,0.094866071,0.118303571,0.081473214,0.109375,0.056919643,0.043526786,0.045758929,0.046875,0.022321429,Lowell Ward 1 Precinct 1,1881.525212,0.225314455,0.623547474,0.096828114,0.054309957
1,Lowell Ward 1 Precinct 2,639,449,530,546,503,564,409,467,430,266,334,365,187,430,80,62,68,35,6364,0.093494657,0.068869123,587,405,419,486,459,422,307,256,202,144,121,127,3935,0.100408548,0.070553111,0.083280955,0.085795097,0.079038341,0.088623507,0.064267756,0.073381521,0.067567568,0.041797612,0.052482715,0.057353865,0.029384035,0.067567568,0.01257071,0.0097423,0.010685104,0.005499686,0.149174079,0.10292249,0.106480305,0.123506989,0.116645489,0.107242694,0.078017789,0.065057179,0.05133418,0.036594663,0.030749682,0.03227446,Lowell Ward 1 Precinct 2,2533.055077,0.04298142,0.921471923,0.012409328,0.023137329
2,Lowell Ward 1 Precinct 3,432,342,397,449,426,497,318,332,324,208,263,293,170,279,94,56,52,40,4972,0.10619469,0.062418726,431,321,376,339,388,347,205,205,143,112,129,80,3076,0.086886565,0.068785197,0.079847144,0.090305712,0.085679807,0.099959775,0.063958166,0.066773934,0.065164924,0.041834272,0.052896219,0.058930008,0.034191472,0.05611424,0.018905873,0.011263073,0.010458568,0.008045052,0.140117035,0.104356307,0.122236671,0.110208062,0.126137841,0.112808843,0.066644993,0.066644993,0.046488947,0.036410923,0.041937581,0.026007802,Lowell Ward 1 Precinct 3,2191.971868,0.059528936,0.835250312,0.092580846,0.012639906
3,Lowell Ward 2 Precinct 1,48,38,53,30,40,37,39,36,38,45,29,26,46,20,25,24,23,18,615,0.227642276,0.14171123,44,40,41,25,25,32,28,29,25,29,32,24,374,0.07804878,0.061788618,0.086178862,0.048780488,0.06504065,0.060162602,0.063414634,0.058536585,0.061788618,0.073170732,0.047154472,0.042276423,0.074796748,0.032520325,0.040650407,0.03902439,0.037398374,0.029268293,0.117647059,0.106951872,0.109625668,0.06684492,0.06684492,0.085561497,0.07486631,0.077540107,0.06684492,0.077540107,0.085561497,0.064171123,Lowell Ward 2 Precinct 1,2887.862561,0.148445805,0.637301091,0.103380457,0.110872646
4,Lowell Ward 2 Precinct 2,95,104,78,53,60,46,47,54,47,84,46,46,92,28,64,62,22,18,1046,0.288718929,0.193162393,49,51,58,48,46,46,66,44,31,56,33,57,585,0.09082218,0.099426386,0.07456979,0.050669216,0.057361377,0.043977055,0.044933078,0.051625239,0.044933078,0.080305927,0.043977055,0.043977055,0.087954111,0.026768642,0.061185468,0.059273423,0.021032505,0.017208413,0.083760684,0.087179487,0.099145299,0.082051282,0.078632479,0.078632479,0.112820513,0.075213675,0.052991453,0.095726496,0.056410256,0.097435897,Lowell Ward 2 Precinct 2,2549.40412,0.412791999,0.383041949,0.119410312,0.08475574
5,Lowell Ward 2 Precinct 3,141,111,129,106,153,129,120,101,102,141,117,77,132,68,50,48,49,31,1805,0.205540166,0.131386861,109,157,122,72,97,99,85,92,47,83,72,61,1096,0.078116343,0.061495845,0.071468144,0.058725762,0.084764543,0.071468144,0.066481994,0.055955679,0.056509695,0.078116343,0.064819945,0.04265928,0.073130194,0.03767313,0.027700831,0.026592798,0.027146814,0.017174515,0.099452555,0.143248175,0.111313869,0.065693431,0.08850365,0.090328467,0.077554745,0.083941606,0.042883212,0.075729927,0.065693431,0.055656934,Lowell Ward 2 Precinct 3,2511.462344,0.247002513,0.570226115,0.082403488,0.100367884
6,Lowell Ward 3 Precinct 1,144,123,107,112,108,93,112,102,125,87,70,75,68,63,46,36,25,20,1516,0.156332454,0.101184069,110,115,85,88,98,101,77,51,66,55,44,39,929,0.094986807,0.081134565,0.070580475,0.073878628,0.071240106,0.061345646,0.073878628,0.067282322,0.082453826,0.057387863,0.046174142,0.049472296,0.044854881,0.041556728,0.030343008,0.023746702,0.016490765,0.013192612,0.118406889,0.12378902,0.091496233,0.094725511,0.105489774,0.108719053,0.082884822,0.05489774,0.071044133,0.059203445,0.047362756,0.041980624,Lowell Ward 3 Precinct 1,1970.96543,0.121399264,0.579155374,0.177753554,0.121691808
7,Lowell Ward 3 Precinct 2,102,94,67,65,62,67,58,68,60,104,56,45,92,35,64,55,22,16,1132,0.278268551,0.224085366,80,62,60,51,49,47,55,36,32,76,37,71,656,0.090106007,0.083038869,0.059187279,0.057420495,0.054770318,0.059187279,0.051236749,0.060070671,0.053003534,0.091872792,0.049469965,0.03975265,0.081272085,0.030918728,0.056537102,0.048586572,0.019434629,0.014134276,0.12195122,0.094512195,0.091463415,0.077743902,0.074695122,0.071646341,0.083841463,0.054878049,0.048780488,0.115853659,0.056402439,0.108231707,Lowell Ward 3 Precinct 2,1792.565845,0.100985181,0.441958197,0.404048088,0.053008534
8,Lowell Ward 3 Precinct 3,133,141,119,86,85,63,74,67,78,131,50,74,114,38,80,77,21,8,1439,0.279360667,0.192627824,99,96,95,70,52,68,80,50,29,74,40,88,841,0.092425295,0.097984712,0.082696317,0.059763725,0.059068798,0.043780403,0.0514246,0.046560111,0.054204309,0.091035441,0.034746352,0.0514246,0.079221682,0.026407227,0.055594163,0.053509382,0.014593468,0.005559416,0.117717004,0.114149822,0.112960761,0.083234245,0.061831153,0.080856124,0.095124851,0.059453032,0.034482759,0.087990488,0.047562426,0.104637337,Lowell Ward 3 Precinct 3,1755.93926,0.101513889,0.458896772,0.375593783,0.063995556
9,Lowell Ward 4 Precinct 1,205,218,142,126,151,122,129,114,127,194,98,109,168,62,111,112,38,22,2248,0.260231317,0.221407625,146,131,129,101,115,118,119,65,65,157,73,145,1364,0.091192171,0.096975089,0.06316726,0.056049822,0.067170819,0.054270463,0.057384342,0.050711744,0.056494662,0.086298932,0.043594306,0.048487544,0.074733096,0.027580071,0.049377224,0.049822064,0.016903915,0.009786477,0.107038123,0.096041056,0.09457478,0.074046921,0.08431085,0.086510264,0.087243402,0.047653959,0.047653959,0.115102639,0.053519062,0.106304985,Lowell Ward 4 Precinct 1,2253.639954,0.138142616,0.402048086,0.422676643,0.037132656
