,PRECINCT,CC_NUON,CC_KENNEDY,CC_LEAHY,CC_SAMARAS,CC_MERCIER,CC_MILINAZZO,CC_ELLIOT,CC_CIRILLO,CC_CONWAY,CC_CHAU,CC_ROURKE,CC_BELANGER,CC_LEARY,CC_BOYLE,CC_HOGAN,CC_LELACHAEUR,CC_FINN,CC_GIGNAC,TOT_CC,PCC_NuonChau,SC_DOHERTY,SC_HOEY,SC_MARTIN,SC_LAY,SC_DESCOTEAUX,SC_NUTTER,SC_MERCIER,SC_CREEGAN,SC_BLAKE,SC_SHANAHAN,TOT_SC,PCC_NUON,PCC_KENNEDY,PCC_LEAHY,PCC_SAMARAS,PCC_MERCIER,PCC_MILINAZZO,PCC_ELLIOT,PCC_CIRILLO,PCC_CONWAY,PCC_CHAU,PCC_ROURKE,PCC_BELANGER,PCC_LEARY,PCC_BOYLE,PCC_HOGAN,PCC_LELACHAEUR,PCC_FINN,PCC_GIGNAC,PSC_DOHERTY,PSC_HOEY,PSC_MARTIN,PSC_LAY,PSC_DESCOTEAUX,PSC_NUTTER,PSC_MERCIER,PSC_CREEGAN,PSC_BLAKE,PSC_SHANAHAN,NAME10,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
0,Lowell Ward 1 Precinct 1,122,148,132,123,138,117,120,106,111,80,86,90,84,87,85,63,70,69,1831,0.110322228,139,126,126,101,102,92,116,86,84,82,1054,0.066630257,0.080830147,0.072091753,0.067176406,0.075368651,0.063899508,0.065537957,0.057891862,0.060622611,0.043691972,0.046968869,0.049153468,0.04587657,0.047515019,0.04642272,0.034407428,0.038230475,0.037684326,0.131878558,0.119544592,0.119544592,0.095825427,0.096774194,0.087286528,0.110056926,0.081593928,0.079696395,0.077798861,Lowell Ward 1 Precinct 1,1881.525212,0.225314455,0.623547474,0.096828114,0.054309957
1,Lowell Ward 1 Precinct 2,834,988,961,940,441,962,365,745,878,320,342,389,392,675,653,341,331,269,10826,0.106595234,893,897,903,734,419,763,342,473,440,333,6197,0.077036763,0.091261777,0.088767781,0.086828007,0.040735267,0.088860151,0.03371513,0.068815814,0.081101053,0.02955847,0.031590615,0.035932016,0.036209126,0.062349898,0.060317754,0.031498245,0.030574543,0.024847589,0.144101985,0.144747458,0.145715669,0.118444409,0.067613361,0.123124092,0.055187994,0.076327255,0.071002098,0.053735679,Lowell Ward 1 Precinct 2,2533.055077,0.04298142,0.921471923,0.012409328,0.023137329
2,Lowell Ward 1 Precinct 3,723,840,823,838,297,823,271,702,721,236,280,289,322,613,606,282,307,238,9211,0.104114646,773,763,789,659,330,657,256,359,338,277,5201,0.078493106,0.09119531,0.089349691,0.090978178,0.032244056,0.089349691,0.029421344,0.076213223,0.078275974,0.025621539,0.030398437,0.031375529,0.034958202,0.066550863,0.065790902,0.030615568,0.033329714,0.025838671,0.148625264,0.146702557,0.151701596,0.126706403,0.063449337,0.126321861,0.049221304,0.069025187,0.064987502,0.053258989,Lowell Ward 1 Precinct 3,2191.971868,0.059528936,0.835250312,0.092580846,0.012639906
3,Lowell Ward 2 Precinct 1,57,56,40,44,39,42,37,44,34,48,31,26,28,33,27,20,17,20,643,0.163297045,56,41,56,45,34,29,22,32,25,22,362,0.088646967,0.087091757,0.062208398,0.068429238,0.060653188,0.065318818,0.057542768,0.068429238,0.052877138,0.074650078,0.048211509,0.040435459,0.043545879,0.051321928,0.041990669,0.031104199,0.026438569,0.031104199,0.154696133,0.113259669,0.154696133,0.124309392,0.093922652,0.080110497,0.060773481,0.08839779,0.069060773,0.060773481,Lowell Ward 2 Precinct 1,2887.862561,0.148445805,0.637301091,0.103380457,0.110872646
4,Lowell Ward 2 Precinct 2,99,99,77,69,100,72,90,61,56,70,50,51,46,46,43,31,31,29,1120,0.150892857,95,82,85,82,49,50,81,33,46,44,647,0.088392857,0.088392857,0.06875,0.061607143,0.089285714,0.064285714,0.080357143,0.054464286,0.05,0.0625,0.044642857,0.045535714,0.041071429,0.041071429,0.038392857,0.027678571,0.027678571,0.025892857,0.14683153,0.126738794,0.13137558,0.126738794,0.075734158,0.077279753,0.125193199,0.051004637,0.071097372,0.068006182,Lowell Ward 2 Precinct 2,2549.40412,0.412791999,0.383041949,0.119410312,0.08475574
5,Lowell Ward 2 Precinct 3,278,255,222,240,129,219,115,236,201,140,95,100,100,210,190,89,74,83,2976,0.140456989,245,194,236,224,116,198,93,107,106,83,1602,0.093413978,0.085685484,0.074596774,0.080645161,0.043346774,0.07358871,0.038642473,0.079301075,0.067540323,0.047043011,0.031922043,0.033602151,0.033602151,0.070564516,0.063844086,0.029905914,0.024865591,0.027889785,0.152933833,0.121098627,0.147315855,0.139825218,0.072409488,0.123595506,0.058052434,0.066791511,0.066167291,0.051810237,Lowell Ward 2 Precinct 3,2511.462344,0.247002513,0.570226115,0.082403488,0.100367884
6,Lowell Ward 3 Precinct 1,153,114,133,138,161,108,164,96,102,124,145,137,150,85,72,111,100,103,2196,0.126138434,142,126,122,116,168,97,124,151,137,117,1300,0.069672131,0.051912568,0.060564663,0.06284153,0.073315118,0.049180328,0.074681239,0.043715847,0.046448087,0.056466302,0.066029144,0.062386157,0.068306011,0.03870674,0.032786885,0.050546448,0.045537341,0.046903461,0.109230769,0.096923077,0.093846154,0.089230769,0.129230769,0.074615385,0.095384615,0.116153846,0.105384615,0.09,Lowell Ward 3 Precinct 1,1970.96543,0.121399264,0.579155374,0.177753554,0.121691808
7,Lowell Ward 3 Precinct 2,146,71,68,78,92,63,120,58,63,120,63,67,75,40,50,58,50,56,1338,0.198804185,80,66,70,113,81,45,75,63,70,59,722,0.109118087,0.053064275,0.050822123,0.058295964,0.068759342,0.047085202,0.089686099,0.043348281,0.047085202,0.089686099,0.047085202,0.050074738,0.056053812,0.029895366,0.037369208,0.043348281,0.037369208,0.041853513,0.110803324,0.091412742,0.096952909,0.156509695,0.112188366,0.06232687,0.103878116,0.087257618,0.096952909,0.081717452,Lowell Ward 3 Precinct 2,1792.565845,0.100985181,0.441958197,0.404048088,0.053008534
8,Lowell Ward 3 Precinct 3,194,119,109,104,116,79,148,74,86,134,84,82,109,69,53,59,57,46,1722,0.19047619,126,113,106,140,105,59,87,73,88,70,967,0.112659698,0.069105691,0.06329849,0.06039489,0.067363531,0.045876887,0.085946574,0.042973287,0.049941928,0.077816492,0.048780488,0.047619048,0.06329849,0.040069686,0.030778165,0.034262485,0.033101045,0.026713124,0.130299897,0.116856256,0.109617373,0.144777663,0.108583247,0.061013444,0.089968976,0.07549121,0.091003102,0.072388831,Lowell Ward 3 Precinct 3,1755.93926,0.101513889,0.458896772,0.375593783,0.063995556
9,Lowell Ward 4 Precinct 1,270,171,162,174,173,132,216,126,141,235,133,132,162,99,102,107,92,94,2721,0.185593532,191,157,155,244,162,116,129,128,142,119,1543,0.099228225,0.062844542,0.059536935,0.063947078,0.063579566,0.048511577,0.07938258,0.046306505,0.051819184,0.086365307,0.048879089,0.048511577,0.059536935,0.036383682,0.037486218,0.039323778,0.033811099,0.034546123,0.123784835,0.101749838,0.100453662,0.158133506,0.104990279,0.075178224,0.08360337,0.082955282,0.092028516,0.077122489,Lowell Ward 4 Precinct 1,2253.639954,0.138142616,0.402048086,0.422676643,0.037132656
