City/Town,Ward,Pct,BAKER_GEN,GONZALEZ_GEN,TOT_GEN,P_BAKER_GEN,P_GONZALEZ_GEN,GONZALEZ_PRI,MASSIE_PRI,TOT_PRI,P_GONZALEZ_PRI,P_MASSIE_PRI,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
Lowell,1,1,362,238,600,0.603333333,0.396666667,114,55,169,0.674556213,0.325443787,1881.525212,0.225314455,0.623547474,0.096828114,0.054309957
Lowell,1,2,1335,413,1748,0.763729977,0.236270023,405,164,569,0.711775044,0.288224956,2533.055077,0.04298142,0.921471923,0.012409328,0.023137329
Lowell,1,3,1095,365,1460,0.75,0.25,341,158,499,0.683366733,0.316633267,2191.971868,0.059528936,0.835250312,0.092580846,0.012639906
Lowell,2,1,189,240,429,0.440559441,0.559440559,84,32,116,0.724137931,0.275862069,2887.862561,0.148445805,0.637301091,0.103380457,0.110872646
Lowell,2,2,288,303,591,0.487309645,0.512690355,130,48,178,0.730337079,0.269662921,2549.40412,0.412791999,0.383041949,0.119410312,0.08475574
Lowell,2,3,595,658,1253,0.474860335,0.525139665,285,123,408,0.698529412,0.301470588,2511.462344,0.247002513,0.570226115,0.082403488,0.100367884
Lowell,3,1,438,253,691,0.633863965,0.366136035,147,58,205,0.717073171,0.282926829,1970.96543,0.121399264,0.579155374,0.177753554,0.121691808
Lowell,3,2,301,237,538,0.559479554,0.440520446,121,37,158,0.765822785,0.234177215,1792.565845,0.100985181,0.441958197,0.404048088,0.053008534
Lowell,3,3,344,216,560,0.614285714,0.385714286,120,55,175,0.685714286,0.314285714,1755.93926,0.101513889,0.458896772,0.375593783,0.063995556
Lowell,4,1,524,297,821,0.638246041,0.361753959,196,77,273,0.717948718,0.282051282,2253.639954,0.138142616,0.402048086,0.422676643,0.037132656
Lowell,4,2,262,210,472,0.555084746,0.444915254,97,47,144,0.673611111,0.326388889,1930.877401,0.148568216,0.345308151,0.434684093,0.07143954
Lowell,4,3,285,233,518,0.55019305,0.44980695,104,49,153,0.679738562,0.320261438,2418.447252,0.190602183,0.41394816,0.31873962,0.076710037
Lowell,5,1,507,273,780,0.65,0.35,121,72,193,0.626943005,0.373056995,2382.566396,0.090393084,0.773805234,0.100573265,0.035228417
Lowell,5,2,333,222,555,0.6,0.4,104,50,154,0.675324675,0.324675325,2274.490089,0.251719763,0.651589354,0.060847938,0.035842946
Lowell,5,3,605,206,811,0.745992602,0.254007398,116,73,189,0.613756614,0.386243386,2064.684705,0.189435789,0.723396797,0.02863689,0.058530524
Lowell,6,1,705,286,991,0.711402624,0.288597376,157,110,267,0.588014981,0.411985019,2345.570642,0.123019367,0.751630212,0.07936145,0.045988971
Lowell,6,2,831,301,1132,0.73409894,0.26590106,177,96,273,0.648351648,0.351648352,2425.886412,0.157586352,0.629103067,0.132546828,0.080763753
Lowell,6,3,608,287,895,0.679329609,0.320670391,167,102,269,0.620817844,0.379182156,2883.425312,0.217050365,0.513107222,0.219889351,0.049953062
Lowell,7,1,294,251,545,0.539449541,0.460550459,97,66,163,0.595092025,0.404907975,2322.64338,0.176876845,0.550571375,0.224459442,0.048092338
Lowell,7,2,334,269,603,0.553897181,0.446102819,140,66,206,0.67961165,0.32038835,2420.692324,0.233087768,0.379439726,0.326020333,0.061452173
Lowell,7,3,217,160,377,0.575596817,0.424403183,70,30,100,0.7,0.3,1834.828779,0.184387373,0.316351251,0.377475055,0.121786321
Lowell,8,1,427,271,698,0.611747851,0.388252149,152,70,222,0.684684685,0.315315315,1650.153695,0.245003405,0.555110575,0.108825784,0.091060236
Lowell,8,2,500,233,733,0.68212824,0.31787176,179,77,256,0.69921875,0.30078125,2210.932148,0.089416888,0.565316438,0.305002239,0.040264434
Lowell,8,3,918,371,1289,0.712179984,0.287820016,326,138,464,0.702586207,0.297413793,2412.088644,0.017541786,0.722776432,0.222476166,0.037205616
Lowell,9,1,435,235,670,0.649253731,0.350746269,132,67,199,0.663316583,0.336683417,1863.246403,0.245636396,0.500495941,0.139792872,0.114074791
Lowell,9,2,671,318,989,0.678463094,0.321536906,208,93,301,0.6910299,0.3089701,2213.715135,0.154931083,0.713444484,0.059962694,0.071661738
Lowell,9,3,509,263,772,0.659326425,0.340673575,138,55,193,0.715025907,0.284974093,2690.091533,0.238381899,0.656855463,0.027140045,0.077622593
Lowell,10,1,499,228,727,0.686382393,0.313617607,125,90,215,0.581395349,0.418604651,1881.332333,0.168429263,0.49216247,0.26522441,0.074183857
Lowell,10,2,269,193,462,0.582251082,0.417748918,66,41,107,0.61682243,0.38317757,1665.66298,0.280735899,0.526393391,0.138564963,0.054305747
Lowell,10,3,205,167,372,0.551075269,0.448924731,66,30,96,0.6875,0.3125,1618.878803,0.271552627,0.486893415,0.11649379,0.125060168
Lowell,11,1,516,323,839,0.615017878,0.384982122,159,49,208,0.764423077,0.235576923,2082.94612,0.195152592,0.514985765,0.180533624,0.109328019
Lowell,11,2,695,256,951,0.730809674,0.269190326,153,86,239,0.640167364,0.359832636,2695.721708,0.160448172,0.707044135,0.071780939,0.060726755
Lowell,11,3,642,297,939,0.68370607,0.31629393,153,73,226,0.67699115,0.32300885,2132.726135,0.119181498,0.75996685,0.083904775,0.036946877
