PRECINCT,DEBORAH BRESS,JAMIE L. MATTHEWS,TOTAL,BressPercent,MatthewsPercent
PCT 4201,196,484,680,0.2882352941,0.7117647059
PCT MAIL 4202,7,37,44,0.1590909091,0.8409090909
PCT MAIL 4205,25,20,45,0.5555555556,0.4444444444
PCT MAIL 4206,1,1,2,0.5,0.5
PCT 4208,102,291,393,0.2595419847,0.7404580153
PCT 4211,144,413,557,0.2585278276,0.7414721724
PCT 4215,173,415,588,0.2942176871,0.7057823129
PCT 4217,104,264,368,0.2826086957,0.7173913043
PCT 4221,124,362,486,0.2551440329,0.7448559671
PCT 4222,129,335,464,0.2780172414,0.7219827586
PCT 4225,81,181,262,0.3091603053,0.6908396947
PCT 4226,156,431,587,0.265758092,0.734241908
PCT 4229,174,463,637,0.273155416,0.726844584
PCT MAIL 4232,9,28,37,0.2432432432,0.7567567568
PCT 4238,109,325,434,0.2511520737,0.7488479263
PCT 4241,220,379,599,0.367278798,0.632721202
PCT 4242,188,351,539,0.3487940631,0.6512059369
PCT 4247,138,245,383,0.3603133159,0.6396866841
PCT 4249,200,389,589,0.3395585739,0.6604414261
PCT 4251,143,317,460,0.3108695652,0.6891304348
PCT 4256,117,302,419,0.2792362768,0.7207637232
PCT 4257,93,221,314,0.2961783439,0.7038216561
PCT 4258,123,199,322,0.3819875776,0.6180124224
PCT 4259,203,456,659,0.3080424886,0.6919575114
PCT 4261,125,267,392,0.318877551,0.681122449
PCT 4265,192,417,609,0.315270936,0.684729064
PCT 4268,90,235,325,0.2769230769,0.7230769231
PCT 4269,152,329,481,0.316008316,0.683991684
PCT 4271,126,292,418,0.3014354067,0.6985645933
PCT 4272,169,325,494,0.3421052632,0.6578947368
PCT 4273,72,149,221,0.3257918552,0.6742081448
PCT 4275,108,259,367,0.2942779292,0.7057220708
PCT 4281,87,258,345,0.252173913,0.747826087
PCT MAIL 4283,44,49,93,0.4731182796,0.5268817204
PCT 4285,131,264,395,0.3316455696,0.6683544304
PCT 4288,161,375,536,0.3003731343,0.6996268657
PCT 4290,145,307,452,0.3207964602,0.6792035398
PCT 4291,26,90,116,0.224137931,0.775862069
PCT 4297,206,459,665,0.3097744361,0.6902255639
PCT 4298,122,384,506,0.2411067194,0.7588932806
PCT MAIL 4299,23,46,69,0.3333333333,0.6666666667
PCT 4301,199,424,623,0.3194221509,0.6805778491
PCT MAIL 4303,8,41,49,0.1632653061,0.8367346939
PCT 4305,205,404,609,0.3366174056,0.6633825944
PCT MAIL 4309,10,15,25,0.4,0.6
PCT 4310,172,378,550,0.3127272727,0.6872727273
PCT MAIL 4311,1,1,2,0.5,0.5
PCT 4312,138,277,415,0.3325301205,0.6674698795
PCT 4315,157,336,493,0.3184584178,0.6815415822
PCT MAIL 4320,3,3,6,0.5,0.5
PCT 4321,111,333,444,0.25,0.75
PCT 4327,110,342,452,0.2433628319,0.7566371681
PCT 4332,118,231,349,0.3381088825,0.6618911175
PCT 4334,147,275,422,0.3483412322,0.6516587678
PCT 4344,61,187,248,0.2459677419,0.7540322581
PCT 4348,113,228,341,0.3313782991,0.6686217009
Total,"6,491","14,889","21,380",0.3036014967,0.6963985033
