PRECINCT,KAREN HARDY,MOHAMMED NADEEM,PATRICK KOLSTAD,TOTAL,HardyPerc,NadeemPerc,KolstadPerc,AsianPerc,TOTAL
PCT 4201,162,212,284,658,0.2462006079,0.3221884498,0.4316109422,0.05477528,658
PCT MAIL 4202,10,5,27,42,0.2380952381,0.119047619,0.6428571429,0.13333333,42
PCT MAIL 4205,20,11,10,41,0.487804878,0.2682926829,0.243902439,0.09259259,41
PCT MAIL 4206,1,0,1,2,0.5,0,0.5,0.4,2
PCT 4208,125,91,164,380,0.3289473684,0.2394736842,0.4315789474,0.1975,380
PCT 4211,138,200,211,549,0.2513661202,0.364298725,0.3843351548,0.12315271,549
PCT 4215,148,212,213,573,0.2582897033,0.369982548,0.3717277487,0.10914928,573
PCT 4217,101,112,146,359,0.2813370474,0.3119777159,0.4066852368,0.14285714,359
PCT 4221,123,159,190,472,0.2605932203,0.3368644068,0.4025423729,0.11984283,472
PCT 4222,133,146,174,453,0.293598234,0.3222958057,0.3841059603,0.1003861,453
PCT 4225,90,72,92,254,0.3543307087,0.2834645669,0.3622047244,0.05033557,254
PCT 4226,156,195,220,571,0.2732049037,0.3415061296,0.3852889667,0.07309487,571
PCT 4229,170,198,253,621,0.2737520129,0.3188405797,0.4074074074,0.1381295,621
PCT MAIL 4232,15,5,16,36,0.4166666667,0.1388888889,0.4444444444,0.24390244,36
PCT 4238,144,105,179,428,0.3364485981,0.2453271028,0.4182242991,0.21267894,428
PCT 4241,237,130,211,578,0.4100346021,0.2249134948,0.3650519031,0.17219589,578
PCT 4242,198,149,184,531,0.3728813559,0.2806026365,0.3465160075,0.18043845,531
PCT 4247,151,78,140,369,0.4092140921,0.2113821138,0.379403794,0.2184466,369
PCT 4249,192,164,225,581,0.330464716,0.2822719449,0.3872633391,0.23434992,581
PCT 4251,169,128,155,452,0.3738938053,0.2831858407,0.342920354,0.12815534,452
PCT 4256,134,138,141,413,0.3244552058,0.3341404358,0.3414043584,0.32113821,413
PCT 4257,129,60,115,304,0.4243421053,0.1973684211,0.3782894737,0.29429429,304
PCT 4258,144,66,98,308,0.4675324675,0.2142857143,0.3181818182,0.26023392,308
PCT 4259,197,183,258,638,0.3087774295,0.2868338558,0.4043887147,0.14030261,638
PCT 4261,143,83,155,381,0.375328084,0.217847769,0.406824147,0.20567376,381
PCT 4265,193,134,254,581,0.3321858864,0.230636833,0.4371772806,0.18625954,581
PCT 4268,117,65,132,314,0.372611465,0.2070063694,0.4203821656,0.16081871,314
PCT 4269,159,165,125,449,0.3541202673,0.3674832962,0.2783964365,0.36513761,449
PCT 4271,143,91,167,401,0.3566084788,0.2269326683,0.4164588529,0.19256018,401
PCT 4272,194,141,136,471,0.4118895966,0.2993630573,0.2887473461,0.33901515,471
PCT 4273,88,54,86,228,0.3859649123,0.2368421053,0.3771929825,0.26356589,228
PCT 4275,134,95,135,364,0.3681318681,0.260989011,0.3708791209,0.1840796,364
PCT 4281,103,99,131,333,0.3093093093,0.2972972973,0.3933933934,0.19414894,333
PCT MAIL 4283,43,16,33,92,0.4673913043,0.1739130435,0.3586956522,0.28571429,92
PCT 4285,164,59,166,389,0.4215938303,0.1516709512,0.4267352185,0.23866348,389
PCT 4288,164,183,177,524,0.3129770992,0.3492366412,0.3377862595,0.13856427,524
PCT 4290,135,130,170,435,0.3103448276,0.2988505747,0.3908045977,0.0859375,435
PCT 4291,37,25,45,107,0.3457943925,0.2336448598,0.4205607477,0.16666667,107
PCT 4297,194,193,262,649,0.2989214176,0.2973805855,0.4036979969,0.14586255,649
PCT 4298,124,167,211,502,0.2470119522,0.3326693227,0.4203187251,0.18299445,502
PCT MAIL 4299,31,18,20,69,0.4492753623,0.2608695652,0.2898550725,0.24675325,69
PCT 4301,193,186,234,613,0.3148450245,0.3034257749,0.3817292007,0.2189781,613
PCT MAIL 4303,6,13,25,44,0.1363636364,0.2954545455,0.5681818182,0.04,44
PCT 4305,190,173,219,582,0.3264604811,0.2972508591,0.3762886598,0.21617647,582
PCT MAIL 4309,10,3,12,25,0.4,0.12,0.48,0.32,25
PCT 4310,170,145,219,534,0.3183520599,0.2715355805,0.4101123596,0.17024793,534
PCT MAIL 4311,0,1,1,2,0,0.5,0.5,0,2
PCT 4312,156,119,129,404,0.3861386139,0.2945544554,0.3193069307,0.2224622,404
PCT 4315,130,144,215,489,0.2658486708,0.2944785276,0.4396728016,0.14509804,489
PCT MAIL 4320,1,2,1,4,0.25,0.5,0.25,0.33333333,4
PCT 4321,131,140,160,431,0.3039443155,0.3248259861,0.3712296984,0.34232365,431
PCT 4327,141,112,184,437,0.3226544622,0.2562929062,0.4210526316,0.17073171,437
PCT 4332,101,80,161,342,0.2953216374,0.2339181287,0.4707602339,0.27055703,342
PCT 4334,139,112,162,413,0.3365617433,0.2711864407,0.392251816,0.17910448,413
PCT 4344,78,66,101,245,0.3183673469,0.2693877551,0.412244898,0.18815331,245
PCT 4348,119,93,116,328,0.362804878,0.2835365854,0.3536585366,0.18817204,328
Total,"6,818","5,926","8,051","20,795",0.3278672758,0.2849723491,0.3871603751,,
