PRECINCT,DEBI DAVIS,JOHN MCLEMORE,TOTAL,DAVIS PERC,MCLEMORE PERC,x,n
PCT 4201,566,299,865,0.6543352601,0.3456647399,0.07634307,865
PCT MAIL 4202,52,34,86,0.6046511628,0.3953488372,0.09433962,86
PCT MAIL 4205,49,25,74,0.6621621622,0.3378378378,0.10377358,74
PCT 4208,520,272,792,0.6565656566,0.3434343434,0.19468085,792
PCT 4211,528,332,860,0.6139534884,0.3860465116,0.161,860
PCT 4217,621,347,968,0.6415289256,0.3584710744,0.0987234,968
PCT 4218,393,206,599,0.6560934891,0.3439065109,0.12807245,599
PCT 4225,584,324,908,0.6431718062,0.3568281938,0.09861592,908
PCT 4226,553,370,923,0.5991332611,0.4008667389,0.1215859,923
PCT 4231,475,337,812,0.5849753695,0.4150246305,0.17043121,812
PCT 4233,486,294,780,0.6230769231,0.3769230769,0.13319012,780
PCT 4238,636,323,959,0.6631908238,0.3368091762,0.2159292,959
PCT 4241,608,316,924,0.658008658,0.341991342,0.22030825,924
PCT 4242,638,370,"1,008",0.6329365079,0.3670634921,0.24222035,"1,008"
PCT 4249,599,334,933,0.6420150054,0.3579849946,0.24010554,933
PCT 4251,646,391,"1,037",0.6229508197,0.3770491803,0.19367284,"1,037"
PCT 4255,194,111,305,0.6360655738,0.3639344262,0.0952381,305
PCT 4256,592,310,902,0.6563192905,0.3436807095,0.3264942,902
PCT 4257,616,333,949,0.6491043203,0.3508956797,0.31574468,949
PCT 4258,394,180,574,0.6864111498,0.3135888502,0.24924925,574
PCT 4259,657,340,997,0.6589769308,0.3410230692,0.16908625,997
PCT 4261,406,215,621,0.653784219,0.346215781,0.25965379,621
PCT 4262,492,291,783,0.6283524904,0.3716475096,0.21321962,783
PCT 4265,608,325,933,0.6516613076,0.3483386924,0.2285192,933
PCT 4268,526,281,807,0.6517967782,0.3482032218,0.21386139,807
PCT 4269,400,227,627,0.6379585327,0.3620414673,0.38519448,627
PCT 4270,611,322,933,0.6548767417,0.3451232583,0.23134328,933
PCT 4272,543,250,793,0.684741488,0.315258512,0.2569089,793
PCT 4285,455,206,661,0.6883509834,0.3116490166,0.22418478,661
PCT 4288,408,207,615,0.6634146341,0.3365853659,0.23194444,615
PCT 4289,340,189,529,0.6427221172,0.3572778828,0.1829653,529
PCT 4290,300,201,501,0.5988023952,0.4011976048,0.12969283,501
PCT 4292,327,158,485,0.6742268041,0.3257731959,0.42321429,485
PCT 4297,585,340,925,0.6324324324,0.3675675676,0.15919924,925
PCT 4298,626,393,"1,019",0.6143277723,0.3856722277,0.20521447,"1,019"
PCT MAIL 4299,46,37,83,0.5542168675,0.4457831325,0.22608696,83
PCT 4301,524,335,859,0.6100116414,0.3899883586,0.27746212,859
PCT 4305,552,315,867,0.6366782007,0.3633217993,0.26588022,867
PCT MAIL 4309,21,13,34,0.6176470588,0.3823529412,0.31707317,34
PCT 4312,354,217,571,0.6199649737,0.3800350263,0.26970954,571
PCT 4315,446,216,662,0.6737160121,0.3262839879,0.19266055,662
PCT 4319,641,346,987,0.6494427558,0.3505572442,0.22022838,987
PCT 4321,506,267,773,0.6545924968,0.3454075032,0.33617021,773
PCT 4327,586,319,905,0.6475138122,0.3524861878,0.21164021,905
PCT 4332,315,181,496,0.6350806452,0.3649193548,0.25605536,496
PCT 4334,409,225,634,0.6451104101,0.3548895899,0.21456437,634
PCT 4344,312,180,492,0.6341463415,0.3658536585,0.21236133,492
PCT 4353,202,113,315,0.6412698413,0.3587301587,0.09635417,315
Total,"21,948","12,217","34,165",0.642411825,0.357588175,,"34,165"
