Precinct,PATRICIA MAHAN,TINO SILVA,RAJ CHAHAL,MARKUS A. BRACAMONTE,Total,Mahan Percent,Silva Percent,CHAHAL Percent,Bracamonte Percent,x,n
PCT 4201,294,284,216,79,873,0.3367697595,0.3253150057,0.2474226804,0.09049255441,0.07634307,873
PCT MAIL 4202,29,35,9,15,88,0.3295454545,0.3977272727,0.1022727273,0.1704545455,0.09433962,88
PCT MAIL 4205,29,21,16,7,73,0.397260274,0.2876712329,0.2191780822,0.09589041096,0.10377358,73
PCT 4208,268,205,198,143,814,0.3292383292,0.2518427518,0.2432432432,0.1756756757,0.19468085,814
PCT 4211,286,252,242,97,877,0.3261117446,0.2873432155,0.275940707,0.110604333,0.161,877
PCT 4217,304,309,257,122,992,0.3064516129,0.3114919355,0.2590725806,0.122983871,0.0987234,992
PCT 4218,219,160,127,102,608,0.3601973684,0.2631578947,0.2088815789,0.1677631579,0.12807245,608
PCT 4225,318,257,203,146,924,0.3441558442,0.2781385281,0.2196969697,0.158008658,0.09861592,924
PCT 4226,295,314,247,99,955,0.3089005236,0.3287958115,0.2586387435,0.1036649215,0.1215859,955
PCT 4231,300,249,198,89,836,0.3588516746,0.29784689,0.2368421053,0.1064593301,0.17043121,836
PCT 4233,223,304,213,67,807,0.2763320942,0.3767038414,0.2639405204,0.08302354399,0.13319012,807
PCT 4238,290,292,304,93,979,0.2962206333,0.2982635342,0.3105209397,0.09499489275,0.2159292,979
PCT 4241,294,319,230,105,948,0.3101265823,0.3364978903,0.2426160338,0.1107594937,0.22030825,948
PCT 4242,327,283,275,129,"1,014",0.3224852071,0.2790927022,0.2712031558,0.1272189349,0.24222035,"1,014"
PCT 4249,309,254,241,142,946,0.3266384778,0.2684989429,0.254756871,0.1501057082,0.24010554,946
PCT 4251,367,293,247,147,"1,054",0.3481973435,0.2779886148,0.234345351,0.1394686907,0.19367284,"1,054"
PCT 4255,93,122,67,29,311,0.2990353698,0.3922829582,0.2154340836,0.09324758842,0.0952381,311
PCT 4256,275,223,325,94,917,0.2998909487,0.2431842966,0.3544165758,0.1025081788,0.3264942,917
PCT 4257,341,239,253,121,954,0.357442348,0.250524109,0.2651991614,0.1268343816,0.31574468,954
PCT 4258,189,141,172,64,566,0.3339222615,0.2491166078,0.3038869258,0.1130742049,0.24924925,566
PCT 4259,358,308,251,102,"1,019",0.3513248283,0.3022571148,0.2463199215,0.1000981354,0.16908625,"1,019"
PCT 4261,225,198,140,74,637,0.3532182104,0.3108320251,0.2197802198,0.1161695447,0.25965379,637
PCT 4262,214,246,233,107,800,0.2675,0.3075,0.29125,0.13375,0.21321962,800
PCT 4265,306,332,220,103,961,0.3184183143,0.3454734651,0.2289281998,0.1071800208,0.2285192,961
PCT 4268,290,247,184,108,829,0.3498190591,0.2979493366,0.2219541616,0.1302774427,0.21386139,829
PCT 4269,202,158,212,53,625,0.3232,0.2528,0.3392,0.0848,0.38519448,625
PCT 4270,317,254,243,139,953,0.332633788,0.2665267576,0.2549842602,0.1458551941,0.23134328,953
PCT 4272,279,222,199,98,798,0.3496240602,0.2781954887,0.2493734336,0.1228070175,0.2569089,798
PCT 4285,256,191,129,87,663,0.3861236802,0.2880844646,0.1945701357,0.1312217195,0.22418478,663
PCT 4288,182,171,205,43,601,0.302828619,0.2845257903,0.3410981697,0.07154742097,0.23194444,601
PCT 4289,170,133,137,84,524,0.3244274809,0.2538167939,0.2614503817,0.1603053435,0.1829653,524
PCT 4290,173,152,123,60,508,0.3405511811,0.2992125984,0.2421259843,0.1181102362,0.12969283,508
PCT 4292,119,129,201,40,489,0.2433537832,0.263803681,0.4110429448,0.081799591,0.42321429,489
PCT 4297,325,305,236,81,947,0.343189018,0.3220696938,0.2492080253,0.08553326294,0.15919924,947
PCT 4298,327,323,306,81,"1,037",0.3153326905,0.3114754098,0.2950819672,0.0781099325,0.20521447,"1,037"
PCT MAIL 4299,31,21,22,8,82,0.3780487805,0.256097561,0.2682926829,0.09756097561,0.22608696,82
PCT 4301,250,249,315,52,866,0.2886836028,0.2875288684,0.3637413395,0.06004618938,0.27746212,866
PCT 4305,284,247,289,84,904,0.314159292,0.2732300885,0.3196902655,0.09292035398,0.26588022,904
PCT MAIL 4309,11,13,7,3,34,0.3235294118,0.3823529412,0.2058823529,0.08823529412,0.31707317,34
PCT 4312,184,144,208,43,579,0.3177892919,0.2487046632,0.3592400691,0.07426597582,0.26970954,579
PCT 4315,211,214,192,61,678,0.3112094395,0.3156342183,0.2831858407,0.08997050147,0.19266055,678
PCT 4319,331,280,266,111,988,0.3350202429,0.2834008097,0.2692307692,0.1123481781,0.22022838,988
PCT 4321,254,184,258,90,786,0.3231552163,0.2340966921,0.3282442748,0.1145038168,0.33617021,786
PCT 4327,332,229,230,135,926,0.3585313175,0.247300216,0.2483801296,0.1457883369,0.21164021,926
PCT 4332,211,147,108,41,507,0.41617357,0.2899408284,0.2130177515,0.0808678501,0.25605536,507
PCT 4334,209,171,220,47,647,0.3230293663,0.2642967543,0.3400309119,0.07264296754,0.21456437,647
PCT 4344,174,128,135,53,490,0.3551020408,0.2612244898,0.2755102041,0.1081632653,0.21236133,490
PCT 4353,109,107,56,47,319,0.34169279,0.3354231975,0.1755485893,0.1473354232,0.09635417,319
Total,"11,384","10,059","9,365","3,925","34,733",0.3277574641,0.2896093053,0.2696283074,0.1130049233,,"34,733"
