PRECINCT,KATHY WATANABE,MOHAMMED NADEEM,SUDS JAIN,ANTHONY J. BECKER,MARIO BOUZA,TOTAL,AsianPercent,WatanabePercent,NademPercent,JainPercent,BeckPercent,BouzaPercent,Nadem+JainPercent
PCT 4201,390,158,185,53,71,857,0.07634307,0.455075846,0.1843640607,0.2158693116,0.06184364061,0.08284714119,0.4002333722
PCT MAIL 4202,36,21,4,19,8,88,0.09433962,0.4090909091,0.2386363636,0.04545454545,0.2159090909,0.09090909091,0.2840909091
PCT MAIL 4205,35,14,15,3,5,72,0.10377358,0.4861111111,0.1944444444,0.2083333333,0.04166666667,0.06944444444,0.4027777778
PCT 4208,345,161,131,86,85,808,0.19468085,0.426980198,0.1992574257,0.1621287129,0.1064356436,0.1051980198,0.3613861386
PCT 4211,382,216,121,67,75,861,0.161,0.443670151,0.2508710801,0.1405342625,0.07781649245,0.08710801394,0.3914053426
PCT 4217,395,200,194,90,95,974,0.0987234,0.4055441478,0.205338809,0.1991786448,0.09240246407,0.09753593429,0.4045174538
PCT 4218,265,118,127,54,40,604,0.12807245,0.4387417219,0.1953642384,0.2102649007,0.08940397351,0.06622516556,0.4056291391
PCT 4225,409,193,132,95,82,911,0.09861592,0.4489571899,0.2118551043,0.144895719,0.1042810099,0.09001097695,0.3567508233
PCT 4226,442,196,132,73,81,924,0.1215859,0.4783549784,0.2121212121,0.1428571429,0.079004329,0.08766233766,0.354978355
PCT 4231,383,180,112,67,67,809,0.17043121,0.4734239802,0.2224969098,0.1384425216,0.08281829419,0.08281829419,0.3609394314
PCT 4233,372,162,112,56,81,783,0.13319012,0.4750957854,0.2068965517,0.1430395913,0.07151979566,0.1034482759,0.349936143
PCT 4238,451,207,146,88,73,965,0.2159292,0.467357513,0.214507772,0.1512953368,0.09119170984,0.07564766839,0.3658031088
PCT 4241,480,141,156,71,81,929,0.22030825,0.5166846071,0.1517761033,0.1679224973,0.0764262648,0.08719052745,0.3196986006
PCT 4242,447,180,162,109,106,"1,004",0.24222035,0.4452191235,0.1792828685,0.1613545817,0.1085657371,0.1055776892,0.3406374502
PCT 4249,435,183,138,107,72,935,0.24010554,0.4652406417,0.1957219251,0.1475935829,0.1144385027,0.07700534759,0.343315508
PCT 4251,453,263,154,109,73,"1,052",0.19367284,0.430608365,0.25,0.1463878327,0.1036121673,0.06939163498,0.3963878327
