Precinct,TERESA O'NEILL,KEVIN PARK,AHMAD RAFAH,Total,O'NeilPercent,ParkPercent,RafahPercent,Park+RafahPercent,AsianPercent
PCT 4201,516,253,94,863,0.5979142526,0.2931633835,0.1089223638,0.4020857474,0.07634307
PCT MAIL 4202,45,31,10,86,0.523255814,0.3604651163,0.1162790698,0.476744186,0.09433962
PCT MAIL 4205,38,24,11,73,0.5205479452,0.3287671233,0.1506849315,0.4794520548,0.10377358
PCT 4208,411,252,119,782,0.5255754476,0.3222506394,0.152173913,0.4744245524,0.19468085
PCT 4211,490,229,146,865,0.5664739884,0.2647398844,0.1687861272,0.4335260116,0.161
PCT 4217,594,268,109,971,0.6117404737,0.2760041195,0.1122554068,0.3882595263,0.0987234
PCT 4218,330,170,98,598,0.5518394649,0.2842809365,0.1638795987,0.4481605351,0.12807245
PCT 4225,540,252,120,912,0.5921052632,0.2763157895,0.1315789474,0.4078947368,0.09861592
PCT 4226,563,278,102,943,0.5970307529,0.2948038176,0.1081654295,0.4029692471,0.1215859
PCT 4231,486,237,106,829,0.5862484922,0.2858866104,0.1278648975,0.4137515078,0.17043121
PCT 4233,507,189,99,795,0.6377358491,0.2377358491,0.1245283019,0.3622641509,0.13319012
PCT 4238,562,283,107,952,0.5903361345,0.2972689076,0.112394958,0.4096638655,0.2159292
PCT 4241,571,281,87,939,0.6080937167,0.2992545261,0.09265175719,0.3919062833,0.22030825
PCT 4242,553,365,94,"1,012",0.5464426877,0.3606719368,0.09288537549,0.4535573123,0.24222035
PCT 4249,521,319,111,951,0.5478443743,0.3354363828,0.1167192429,0.4521556257,0.24010554
PCT 4251,551,366,148,"1,065",0.517370892,0.3436619718,0.1389671362,0.482629108,0.19367284
PCT 4255,206,73,24,303,0.6798679868,0.2409240924,0.07920792079,0.3201320132,0.0952381
PCT 4256,425,334,144,903,0.4706533776,0.3698781838,0.1594684385,0.5293466224,0.3264942
PCT 4257,495,340,122,957,0.5172413793,0.355276907,0.1274817137,0.4827586207,0.31574468
PCT 4258,311,184,77,572,0.5437062937,0.3216783217,0.1346153846,0.4562937063,0.24924925
PCT 4259,594,311,105,"1,010",0.5881188119,0.3079207921,0.103960396,0.4118811881,0.16908625
PCT 4261,371,212,57,640,0.5796875,0.33125,0.0890625,0.4203125,0.25965379
PCT 4262,473,262,63,798,0.5927318296,0.328320802,0.07894736842,0.4072681704,0.21321962
PCT 4265,541,297,92,930,0.5817204301,0.3193548387,0.09892473118,0.4182795699,0.2285192
PCT 4268,466,266,91,823,0.5662211422,0.3232077764,0.1105710814,0.4337788578,0.21386139
PCT 4269,337,207,73,617,0.546191248,0.3354943274,0.1183144246,0.453808752,0.38519448
PCT 4270,508,295,121,924,0.5497835498,0.3192640693,0.130952381,0.4502164502,0.23134328
PCT 4272,438,254,95,787,0.5565438374,0.3227445997,0.1207115629,0.4434561626,0.2569089
PCT 4285,373,206,75,654,0.5703363914,0.3149847095,0.1146788991,0.4296636086,0.22418478
PCT 4288,355,199,50,604,0.5877483444,0.3294701987,0.08278145695,0.4122516556,0.23194444
PCT 4289,249,170,93,512,0.486328125,0.33203125,0.181640625,0.513671875,0.1829653
PCT 4290,282,160,69,511,0.5518590998,0.313111546,0.1350293542,0.4481409002,0.12969283
PCT 4292,222,194,70,486,0.4567901235,0.3991769547,0.1440329218,0.5432098765,0.42321429
PCT 4297,608,236,91,935,0.6502673797,0.2524064171,0.09732620321,0.3497326203,0.15919924
PCT 4298,674,256,98,"1,028",0.6556420233,0.2490272374,0.0953307393,0.3443579767,0.20521447
PCT MAIL 4299,50,25,8,83,0.6024096386,0.3012048193,0.09638554217,0.3975903614,0.22608696
PCT 4301,526,261,81,868,0.6059907834,0.3006912442,0.09331797235,0.3940092166,0.27746212
PCT 4305,515,266,97,878,0.5865603645,0.3029612756,0.1104783599,0.4134396355,0.26588022
PCT MAIL 4309,22,10,3,35,0.6285714286,0.2857142857,0.08571428571,0.3714285714,0.31707317
PCT 4312,327,202,63,592,0.5523648649,0.3412162162,0.1064189189,0.4476351351,0.26970954
PCT 4315,446,183,33,662,0.6737160121,0.2764350453,0.0498489426,0.3262839879,0.19266055
PCT 4319,542,330,117,989,0.5480283114,0.3336703741,0.1183013145,0.4519716886,0.22022838
PCT 4321,385,237,156,778,0.4948586118,0.3046272494,0.2005141388,0.5051413882,0.33617021
PCT 4327,462,303,154,919,0.5027203482,0.3297062024,0.1675734494,0.4972796518,0.21164021
PCT 4332,309,136,48,493,0.6267748479,0.275862069,0.09736308316,0.3732251521,0.25605536
PCT 4334,385,190,67,642,0.5996884735,0.2959501558,0.1043613707,0.4003115265,0.21456437
PCT 4344,274,146,61,481,0.5696465696,0.3035343035,0.1268191268,0.4303534304,0.21236133
PCT 4353,185,93,41,319,0.5799373041,0.2915360502,0.1285266458,0.4200626959,0.09635417
Total,"19,634","10,635","4,100","34,369",0.5712706218,0.3094358288,0.1192935494,0.4287293782,
