PRECINCT,TOTVOTE,P_TAYLOR,P_GONZALEZ,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
103,337,0.3115727,0.6884273,0.653202104,0.291763873,0.021636235,0.033397788,0.487043157,0.063177153,0.418750492,0.031029198
104,435,0.365517241,0.634482759,0.642049729,0.293601874,0.018563582,0.045784815,0.539131023,0.021362866,0.416000169,0.023505942
111,371,0.603773585,0.396226415,0.289749474,0.619564737,0.019094104,0.071591685,0.595747929,0.008664142,0.361895636,0.033692293
124,221,0.407239819,0.592760181,0.529497604,0.377842704,0.027873392,0.0647863,0.387377464,0.026716534,0.560584154,0.025321848
140,454,0.50660793,0.49339207,0.520817615,0.431929424,0.009743846,0.037509115,0.615492456,0,0.367214312,0.017293232
150,404,0.475247525,0.524752475,0.394465283,0.543861684,0.021313968,0.040359065,0.720076778,0.064951702,0.204948721,0.010022799
155,613,0.659053834,0.340946166,0.160690201,0.785602756,0.008323154,0.045383889,0.834888943,4.07E-06,0.125017829,0.040089158
156,380,0.521052632,0.478947368,0.482195299,0.468767422,0.014230672,0.034806607,0.431278882,2.10E-05,0.532471598,0.03622852
158,407,0.538083538,0.461916462,0.414500993,0.504878578,0.01997722,0.060643209,0.756343295,0.008688889,0.226261285,0.008706531
162,403,0.625310174,0.374689826,0.33607026,0.579292534,0.025850053,0.058787153,0.605047859,0.000112882,0.344073245,0.050766014
175,321,0.676012461,0.323987539,0.189053991,0.75414909,0.003557995,0.053238924,0.83488168,0,0.125026431,0.040091889
301,155,0.329032258,0.670967742,0.807940523,0.178980055,0.002862465,0.010216957,0.314703358,0,0.665009961,0.020286681
302,478,0.443514644,0.556485356,0.788320919,0.196904145,0.00586061,0.008914326,0.282178652,5.63E-05,0.71171718,0.006047868
303,456,0.421052632,0.578947368,0.804166965,0.182811147,0.000461431,0.012560457,0.359462574,0.00437953,0.6332835,0.002874396
304,165,0.521212121,0.478787879,0.507364422,0.492513172,1.20E-05,0.000110406,0.340909998,8.25E-07,0.659088764,4.13E-07
