PRECINCT,TOTVOTE,P_DANIEL,P_SGONZAL,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
101,115,0.52173913,0.47826087,0.45569421,0.417697848,0.04984021,0.076767732,0.468861706,0.074888504,0.4011674,0.05508239
103,102,0.480392157,0.519607843,0.653202104,0.291763873,0.021636235,0.033397788,0.487043157,0.063177153,0.418750492,0.031029198
104,119,0.56302521,0.43697479,0.642049729,0.293601874,0.018563582,0.045784815,0.539131023,0.021362866,0.416000169,0.023505942
110,344,0.523255814,0.476744186,0.304633779,0.632758217,0.01634018,0.046267824,0.658207382,0.018046741,0.289925825,0.033820052
111,159,0.547169811,0.452830189,0.289749474,0.619564737,0.019094104,0.071591685,0.595747929,0.008664142,0.361895636,0.033692293
113,102,0.450980392,0.549019608,0.723282963,0.229886623,0.014948493,0.031881921,0.313209771,4.11E-15,0.603121437,0.083668792
116,68,0.529411765,0.470588235,0.264942299,0.659136718,0.020502225,0.055418758,0.722312824,0.032660825,0.239991861,0.00503449
118,89,0.584269663,0.415730337,0.401432381,0.510364909,0.025603224,0.062599486,0.574974218,0.052997067,0.345339392,0.026689324
120,143,0.468531469,0.531468531,0.692382231,0.23656327,0.025632276,0.045422223,0.309232355,0.04916741,0.614063938,0.027536297
124,55,0.545454545,0.454545455,0.529497604,0.377842704,0.027873392,0.0647863,0.387377464,0.026716534,0.560584154,0.025321848
126,107,0.476635514,0.523364486,0.775274129,0.145730586,0.010211899,0.068783386,0.15543725,0.040946435,0.676970063,0.126646251
127,185,0.675675676,0.324324324,0.463556404,0.47626592,0.016115126,0.04406255,0.53099072,4.49E-05,0.414985471,0.053978948
129,107,0.626168224,0.373831776,0.440695758,0.499688622,0.017214573,0.042401047,0.382396004,0.022419082,0.510989728,0.084195187
130,112,0.625,0.375,0.187343875,0.746400935,0.007049668,0.059205522,0.691573207,0.009650049,0.269826859,0.028949886
131,146,0.452054795,0.547945205,0.258096659,0.657151071,0.014283453,0.070468817,0.619203072,0.032027665,0.252685962,0.0960833
132,159,0.553459119,0.446540881,0.210300089,0.748973729,0.010903793,0.029822389,0.612396458,0.002822929,0.329729684,0.05505093
133,296,0.527027027,0.472972973,0.147861561,0.794334585,0.012817492,0.044986362,0.923843505,0.003499675,0.055469285,0.017187535
134,373,0.504021448,0.495978552,0.125787571,0.826014971,0.012345818,0.03585164,0.857555226,0.008103078,0.111560406,0.02278129
138,332,0.563253012,0.436746988,0.104143941,0.849452311,0.004500007,0.041903741,0.91527744,1.20E-07,0.063615698,0.021106742
139,327,0.743119266,0.256880734,0.08062046,0.888035149,0.008329413,0.023014978,0.754429962,0.047732645,0.152763529,0.045073863
140,127,0.62992126,0.37007874,0.520817615,0.431929424,0.009743846,0.037509115,0.615492456,0,0.367214312,0.017293232
142,319,0.717868339,0.282131661,0.400769056,0.54714017,0.013416006,0.038674768,0.476192868,0.00971508,0.473958819,0.040133234
150,109,0.587155963,0.412844037,0.394465283,0.543861684,0.021313968,0.040359065,0.720076778,0.064951702,0.204948721,0.010022798
153,189,0.650793651,0.349206349,0.146850211,0.787210012,0.008991359,0.056948418,0.792434797,7.60E-08,0.153572274,0.053992853
154,226,0.57079646,0.42920354,0.230323212,0.687340106,0.013549765,0.068786917,0.67094516,0.012098841,0.285468241,0.031487758
155,215,0.655813953,0.344186047,0.160690201,0.785602756,0.008323154,0.045383889,0.834888943,4.07E-06,0.125017829,0.040089161
156,131,0.679389313,0.320610687,0.482195299,0.468767422,0.014230672,0.034806607,0.431278882,2.10E-05,0.532471598,0.036228491
158,108,0.740740741,0.259259259,0.414500993,0.504878578,0.01997722,0.060643209,0.756343295,0.008688889,0.226261285,0.008706531
162,149,0.724832215,0.275167785,0.33607026,0.579292534,0.025850053,0.058787153,0.605047859,0.000112882,0.344073245,0.050766015
163,406,0.608374384,0.391625616,0.077846926,0.874211918,0.008652462,0.039288694,0.813950927,4.83E-07,0.167562446,0.018486144
165,6,0.735848848,0.264151152,0.004508247,0.987421719,0.000208978,0.007861056,0.73628853,0,0.223055492,0.040655978
167,325,0.566153846,0.433846154,0.108145315,0.845412762,0.004899817,0.041542106,0.865967922,5.57E-09,0.096225017,0.037807055
169,354,0.548022599,0.451977401,0.111942103,0.831923583,0.008493708,0.047640606,0.661503761,6.52E-06,0.189324111,0.14916561
170,184,0.565217391,0.434782609,0.114602799,0.807003716,0.008710632,0.069682853,0.815013044,4.48E-07,0.171163135,0.013823373
173,164,0.695121951,0.304878049,0.186062523,0.751221016,0.009568823,0.053147638,0.877010676,1.42E-06,0.092680231,0.030307668
175,143,0.615384615,0.384615385,0.189053991,0.75414909,0.003557995,0.053238924,0.83488168,0,0.125026431,0.04009189
177,265,0.641509434,0.358490566,0.117661411,0.83444112,0.008401802,0.039495667,0.823142647,0.00619504,0.139684342,0.030977971
179,294,0.670068027,0.329931973,0.112271771,0.838402804,0.013602455,0.03572297,0.790321431,0.0044951,0.145968567,0.059214902
181,434,0.732718894,0.267281106,0.124435466,0.81502491,0.006065202,0.054474422,0.83519723,0.000297128,0.133466625,0.031039017
182,378,0.62962963,0.37037037,0.093448717,0.854718378,0.002779492,0.049053413,0.856591765,0,0.136323063,0.007085172
183,218,0.527522936,0.472477064,0.091918685,0.85623821,0.003534014,0.048309091,0.888242377,1.11E-09,0.102438383,0.009319239
184,217,0.718894009,0.281105991,0.402446346,0.531007721,0.019419608,0.047126325,0.626873447,0.058248152,0.267852466,0.047025935
185,209,0.607655502,0.392344498,0.116976346,0.840964066,0.008983345,0.033076243,0.900126733,0,0.090343626,0.009529642
186,308,0.652597403,0.347402597,0.16110806,0.778761643,0.012052221,0.048078076,0.762754043,2.65E-06,0.189638241,0.047605066
187,197,0.664974619,0.335025381,0.131744399,0.796784155,0.009681221,0.061790225,0.848000042,0,0.119999976,0.031999982
188,240,0.554166667,0.445833333,0.130168193,0.782148623,0.013821925,0.073861259,0.861142328,0.003485668,0.123687617,0.011684387
189,155,0.6,0.4,0.104629233,0.813364037,0.001640879,0.080365851,0.847766503,0,0.120127882,0.032105615
190,139,0.618705036,0.381294964,0.13654573,0.829640538,0.003237911,0.030575821,0.770338171,0,0.162141427,0.067520403
301,37,0.432432432,0.567567568,0.807940523,0.178980055,0.002862465,0.010216957,0.314703358,0,0.665009961,0.020286681
302,152,0.414473684,0.585526316,0.788320919,0.196904145,0.00586061,0.008914326,0.282178652,5.63E-05,0.71171718,0.006047913
303,134,0.432835821,0.567164179,0.804166965,0.182811147,0.000461431,0.012560457,0.359462574,0.00437953,0.6332835,0.002874396
304,49,0.469387755,0.530612245,0.507364422,0.492513172,1.20E-05,0.000110406,0.340909998,8.25E-07,0.659088764,4.13E-07
305,20,0.735848854,0.264151146,0.253940861,0.723229683,0.000246002,0.022583454,0.467994642,0.120086443,0.352390013,0.059528902
306,227,0.519823789,0.480176211,0.613654725,0.352951956,0.002921057,0.030472262,0.346288805,0.004897934,0.646364357,0.002448904
307,13,0.692307692,0.307692308,0.427352078,0.468220416,0.012489241,0.091938265,0.604466867,0,0.364637044,0.030896089
