PRECINCT,TOTVOTE,P_CHARLES,P_GEARY,P_STAMB,P_LEITA,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
105,48,0.25,0.166666667,0.166666667,0.416666667,0.705609896,0.241663247,0.014530129,0.038196728,0.609949854,0.02939529,0.331337374,0.029317482
110,196,0.12244898,0.137755102,0.168367347,0.571428571,0.187897368,0.736921228,0.019215449,0.055965955,0.698866525,0.020429435,0.252920505,0.027783535
111,190,0.178947368,0.152631579,0.1,0.568421053,0.282129294,0.62157288,0.022455879,0.073841947,0.603199488,0.011639503,0.351449909,0.0337111
112,36,0.277777778,0.138888889,0.083333333,0.5,0.669077119,0.290034363,0.018174259,0.022714259,0.36565173,0.033379053,0.536555433,0.064413784
113,101,0.227722772,0.217821782,0.099009901,0.455445545,0.72327068,0.229901177,0.014948387,0.031879756,0.313279639,5.30E-07,0.603067843,0.083651988
116,113,0.17699115,0.185840708,0.159292035,0.477876106,0.236417455,0.689783767,0.015819273,0.057979505,0.748504745,0.028891916,0.212082464,0.010520876
118,86,0.186046512,0.127906977,0.11627907,0.569767442,0.278374114,0.617365139,0.023770761,0.080489986,0.649547491,0.040711254,0.289180437,0.020560817
132,120,0.141666667,0.133333333,0.05,0.675,0.240629938,0.723206536,0.009685218,0.026478308,0.578766575,7.00E-06,0.361044446,0.060181982
133,310,0.180645161,0.183870968,0.167741935,0.467741935,0.149311259,0.791948511,0.01317062,0.04556961,0.927962741,0.002976262,0.052175378,0.016885619
134,334,0.125748503,0.140718563,0.092814371,0.640718563,0.136386318,0.810382434,0.013853301,0.039377947,0.863441571,0.007753614,0.110142092,0.018662723
135,180,0.111111111,0.144444444,0.183333333,0.561111111,0.073355276,0.891537323,0.012769762,0.022337639,0.817409018,0.014118574,0.135367682,0.033104726
138,343,0.134110787,0.157434402,0.099125364,0.609329446,0.104143955,0.849452296,0.004500008,0.041903741,0.915243071,9.50E-07,0.06363413,0.021121848
139,335,0.170149254,0.149253731,0.080597015,0.6,0.080620449,0.888035162,0.008329413,0.023014976,0.754524092,0.047707457,0.152700682,0.045067769
163,313,0.10543131,0.156549521,0.134185304,0.603833866,0.079375627,0.871567353,0.009748124,0.039308896,0.825744827,4.30E-06,0.164409173,0.009841695
167,331,0.096676737,0.202416918,0.102719033,0.598187311,0.122612434,0.834684892,0.003714464,0.03898821,0.865968703,3.03E-07,0.096231552,0.037799442
168,269,0.107806691,0.17472119,0.092936803,0.624535316,0.068853102,0.874766757,0.007433357,0.048946784,0.816650516,0,0.153743149,0.029606335
169,377,0.119363395,0.196286472,0.079575597,0.604774536,0.111941468,0.83192449,0.008493653,0.047640389,0.661575085,3.80E-06,0.189276973,0.149144141
177,294,0.119047619,0.176870748,0.12244898,0.581632653,0.117661397,0.834441136,0.008401801,0.039495666,0.823136586,0.006193139,0.139696506,0.03097377
179,293,0.122866894,0.194539249,0.126279863,0.556313993,0.112271784,0.83840279,0.013602456,0.03572297,0.790311623,0.004496416,0.145969842,0.059222119
182,383,0.122715405,0.180156658,0.101827676,0.595300261,0.093448719,0.854718375,0.002779493,0.049053413,0.856579904,0,0.136321272,0.007098823
183,218,0.096330275,0.119266055,0.174311927,0.610091743,0.084581657,0.869417975,0.002962575,0.043037793,0.902259505,0,0.086954703,0.010785792
184,229,0.192139738,0.213973799,0.122270742,0.471615721,0.402446334,0.531007734,0.019419607,0.047126325,0.626901516,0.058249832,0.267819841,0.047028812
185,240,0.133333333,0.1625,0.0875,0.616666667,0.116976346,0.840964066,0.008983345,0.033076243,0.900091445,0,0.090373921,0.009534635
187,236,0.190677966,0.118644068,0.131355932,0.559322034,0.131744393,0.796784159,0.00968122,0.061790228,0.848,0,0.12,0.032
189,204,0.12254902,0.151960784,0.112745098,0.612745098,0.101184918,0.816303148,0.001651026,0.080860908,0.847772979,0,0.120124082,0.032102939
190,152,0.118421053,0.177631579,0.118421053,0.585526316,0.136545722,0.829640547,0.00323791,0.030575821,0.770301527,0,0.162197313,0.06750116
191,0,0,0,0,0,0.661697679,0.337996013,0,0.000306308,0.848,0,0.12,0.032
