PRECINCT,TOTVOTE,P_EFFLER,P_ANDERS,P_MANJAR,P_WATSON,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
127,162,0.12962963,0.358024691,0.432098765,0.080246914,0.463556408,0.476265918,0.016115126,0.044062548,0.530909837,5.06E-05,0.415049497,0.053990066
129,95,0.115789474,0.284210526,0.463157895,0.136842105,0.440695729,0.499688651,0.017214573,0.042401047,0.382577087,0.022427418,0.51080025,0.084195245
130,249,0.269076305,0.24497992,0.329317269,0.156626506,0.226807644,0.692655952,0.011597442,0.068938962,0.639254754,0.025839519,0.257410467,0.07749526
140,181,0.17679558,0.35359116,0.303867403,0.165745856,0.419907229,0.499404591,0.022476046,0.058212134,0.633144345,0.002350094,0.329564788,0.034940773
142,199,0.105527638,0.396984925,0.311557789,0.185929648,0.109649888,0.850530724,0.00742225,0.032397138,0.528386471,1.26E-07,0.467006553,0.00460685
143,66,0.151515152,0.227272727,0.439393939,0.181818182,0.532339283,0.425934647,0.0071967,0.03452937,0.541702233,0,0.458293495,4.272E-06
145,101,0.128712871,0.326732673,0.356435644,0.188118812,0.536978535,0.405189134,0.016220376,0.041611955,0.456322141,0.013414352,0.47659201,0.053671497
150,89,0.179775281,0.325842697,0.382022472,0.112359551,0.394465261,0.543861706,0.021313965,0.040359068,0.720116059,0.064932823,0.204921186,0.010029932
153,192,0.192708333,0.291666667,0.291666667,0.223958333,0.146850208,0.787210013,0.00899136,0.056948419,0.792447463,0,0.153564042,0.053988495
155,224,0.165178571,0.366071429,0.303571429,0.165178571,0.16069021,0.785602751,0.008323153,0.045383886,0.834902797,1.58E-06,0.125001983,0.04009364
156,108,0.12962963,0.37962963,0.314814815,0.175925926,0.482195289,0.468767433,0.014230671,0.034806607,0.431494111,2.52E-05,0.532285319,0.03619537
158,68,0.117647059,0.441176471,0.25,0.191176471,0.463549705,0.477432358,0.018877196,0.040140741,0.756172852,0.008679061,0.226433595,0.008714492
162,71,0.169014085,0.309859155,0.323943662,0.197183099,0.219862345,0.719200286,0.001861671,0.059075698,0.858906745,0.000235148,0.100007968,0.040850139
170,87,0.195402299,0.264367816,0.333333333,0.206896552,0.178954617,0.748816885,0.006567533,0.065660965,0.808645388,0,0.178477799,0.012876813
171,112,0.294642857,0.321428571,0.25,0.133928571,0.087177118,0.838176892,0.012432283,0.062213707,0.775802884,0,0.216250394,0.007946722
173,158,0.082278481,0.392405063,0.272151899,0.253164557,0.186062539,0.751220985,0.009568825,0.053147651,0.876772127,1.05E-05,0.092910049,0.030307324
175,112,0.178571429,0.357142857,0.267857143,0.196428571,0.189053988,0.754149093,0.003557994,0.053238925,0.83484454,0,0.125067246,0.040088214
180,132,0.174242424,0.333333333,0.287878788,0.204545455,0.090725059,0.84436084,0.00179222,0.063121881,0.788062291,0.001098189,0.185571998,0.025267522
181,307,0.13029316,0.319218241,0.25732899,0.293159609,0.142373508,0.798784334,0.008270204,0.050571954,0.852290647,9.35E-06,0.114594249,0.033105754
186,280,0.110714286,0.389285714,0.285714286,0.214285714,0.161108065,0.778761641,0.012052221,0.048078073,0.762745184,9.18E-08,0.189650777,0.047603947
188,384,0.171875,0.354166667,0.3046875,0.169270833,0.129691323,0.783166811,0.013842883,0.073298983,0.861144276,0.00348857,0.123682369,0.011684785
701,59,0.06779661,0.203389831,0.627118644,0.101694915,0.516776782,0.267451442,0.168428407,0.047343369,0.256637168,0.185840708,0.504424779,0.053097345
901,54,0.037037037,0.277777778,0.537037037,0.148148148,0.894148817,0.097928772,0.000721036,0.007201375,0.138306656,0.002520874,0.847941839,0.011230631
2101,119,0.042016807,0.193277311,0.613445378,0.151260504,0.793206832,0.10716702,0.079064367,0.020561781,0.198698403,0.044616524,0.737152761,0.019532312
2102,116,0.137931034,0.181034483,0.448275862,0.232758621,0.684415743,0.196372753,0.099750936,0.019460568,0.237191028,0.114729397,0.592745055,0.05533452
2103,109,0.064220183,0.146788991,0.614678899,0.174311927,0.843551179,0.089423631,0.054559239,0.012465951,0.112245731,0.101466615,0.731072916,0.055214738
2301,156,0.16025641,0.25,0.352564103,0.237179487,0.392051021,0.562469911,0.022763955,0.022715113,0.590992312,0.028905233,0.364042295,0.01606016
2303,131,0.13740458,0.27480916,0.335877863,0.251908397,0.361387455,0.597883475,0.01163688,0.02909219,0.711298207,0.049796369,0.210568822,0.028336602
2306,189,0.164021164,0.333333333,0.343915344,0.158730159,0.367379993,0.593419725,0.013756147,0.025444135,0.74847124,0.019159721,0.215783306,0.016585733
2501,111,0.126126126,0.18018018,0.594594595,0.099099099,0.780925891,0.105900417,0.085030013,0.028143679,0.107898185,0.254456512,0.594403317,0.043241986
2502,44,0.068181818,0.113636364,0.795454545,0.022727273,0.805503145,0.130578884,0.041987613,0.021930358,0.135339352,0.131231568,0.64930029,0.08412879
3002,65,0.138461538,0.384615385,0.353846154,0.123076923,0.245155019,0.290293585,0.426066103,0.038485293,0.402838823,0.341863289,0.166245073,0.089052815
3103,107,0.177570093,0.308411215,0.327102804,0.186915888,0.384766978,0.257759084,0.324077355,0.033396583,0.364715435,0.273182187,0.325429535,0.036672843
