PRECINCT,TOTVOTE,P_SOTOP,P_JOHNS,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
101,243,0.481481481,0.518518519,0.337066069,0.506159015,0.065509518,0.091265398,0.417513383,0.11091873,0.412519899,0.059047988
102,136,0.676470588,0.323529412,0.664726426,0.258440047,0.027939464,0.048894063,0.537637093,0.027000505,0.387882198,0.047480204
110,538,0.412639405,0.587360595,0.187937063,0.736888112,0.019230769,0.055944056,0.698866525,0.020429435,0.252920505,0.027783535
112,177,0.598870056,0.401129944,0.66969353,0.289443814,0.01816118,0.022701476,0.36565173,0.033379053,0.536555433,0.064413784
113,482,0.67219917,0.32780083,0.723337269,0.229830775,0.014954742,0.031877214,0.313279639,5.30E-07,0.603067843,0.083651988
116,368,0.448369565,0.551630435,0.23628692,0.689873418,0.015822785,0.058016877,0.748504745,0.028891916,0.212082464,0.010520875
118,221,0.452488688,0.547511312,0.278364116,0.617414248,0.023746702,0.080474934,0.649547491,0.040711254,0.289180437,0.020560818
120,445,0.703370787,0.296629213,0.767498977,0.180515759,0.015554646,0.036430618,0.277844379,0.031336766,0.671629024,0.019189831
126,411,0.717761557,0.282238443,0.777837838,0.144324324,0.01027027,0.067567568,0.152304939,0.041141351,0.678961349,0.127592361
127,578,0.512110727,0.487889273,0.463414634,0.476388168,0.016087182,0.044110016,0.530909837,5.06E-05,0.415049497,0.053990066
129,380,0.528947368,0.471052632,0.44079516,0.499567848,0.017286085,0.042350907,0.382577087,0.022427418,0.51080025,0.084195245
130,800,0.39875,0.60125,0.226804124,0.692654639,0.011597938,0.068943299,0.639254754,0.025839519,0.257410467,0.07749526
132,350,0.385714286,0.614285714,0.240384615,0.723557692,0.009615385,0.026442308,0.578766575,7.00E-06,0.361044446,0.060181979
133,933,0.383708467,0.616291533,0.149174917,0.792079208,0.01320132,0.045544555,0.927962741,0.002976262,0.052175378,0.016885619
134,844,0.308056872,0.691943128,0.136396791,0.810357403,0.013858497,0.039387309,0.863441571,0.007753614,0.110142092,0.018662723
135,482,0.309128631,0.690871369,0.073365231,0.891547049,0.012759171,0.022328549,0.817409018,0.014118574,0.135367682,0.033104726
138,816,0.346813725,0.653186275,0.104041916,0.849550898,0.004491018,0.041916168,0.915243071,9.50E-07,0.06363413,0.021121849
139,702,0.321937322,0.678062678,0.08045977,0.888250319,0.008301405,0.022988506,0.754524092,0.047707457,0.152700682,0.045067769
142,352,0.298295455,0.701704545,0.107352941,0.852941176,0.007352941,0.032352942,0.528386471,1.26E-07,0.467006553,0.00460685
144,2,1,0,0.3,0.4,0,0.3,0.528409091,0.017045455,0.4375,0.017045454
145,464,0.564655172,0.435344828,0.536997886,0.40521494,0.016208598,0.041578576,0.456322141,0.013414352,0.47659201,0.053671497
153,596,0.302013423,0.697986577,0.146853147,0.787212787,0.008991009,0.056943057,0.792447463,0,0.153564042,0.053988495
154,756,0.398148148,0.601851852,0.230448384,0.68717414,0.013555787,0.068821689,0.670973369,0.012095165,0.285436696,0.03149477
163,661,0.255673222,0.744326778,0.079572447,0.871733967,0.009501188,0.039192398,0.825744827,4.30E-06,0.164409173,0.0098417
167,702,0.263532764,0.736467236,0.122562674,0.834726091,0.00371402,0.038997215,0.865968703,3.03E-07,0.096231552,0.037799442
168,588,0.25,0.75,0.068831169,0.874025974,0.007792208,0.049350649,0.816650516,0,0.153743149,0.029606335
169,841,0.269916766,0.730083234,0.113191489,0.830638298,0.008510638,0.047659575,0.661575085,3.80E-06,0.189276973,0.149144142
170,293,0.402730375,0.597269625,0.178981938,0.748768473,0.006568144,0.065681445,0.808645388,0,0.178477799,0.012876813
