PRECINCT,TOTVOTE,P_HABIB,P_MCCLEND,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
101,254,0.570866142,0.429133858,0.337066069,0.506159015,0.065509518,0.091265398,0.417513383,0.11091873,0.412519899,0.059047988
102,143,0.685314685,0.314685315,0.664726426,0.258440047,0.027939464,0.048894063,0.537637093,0.027000505,0.387882198,0.047480204
103,285,0.687719298,0.312280702,0.672752809,0.264747191,0.024578652,0.037921348,0.454207111,0.071469059,0.451986468,0.022337362
104,106,0.716981132,0.283018868,0.750623441,0.193266833,0.017456359,0.038653367,0.329432257,0.001342917,0.663827602,0.005397224
105,205,0.629268293,0.370731707,0.707383774,0.239744758,0.014585232,0.038286236,0.609949854,0.02939529,0.331337374,0.029317482
110,539,0.52690167,0.47309833,0.187937063,0.736888112,0.019230769,0.055944056,0.698866525,0.020429435,0.252920505,0.027783535
111,522,0.411877395,0.588122605,0.281456954,0.621854305,0.022516556,0.074172185,0.603199488,0.011639503,0.351449909,0.0337111
112,176,0.619318182,0.380681818,0.66969353,0.289443814,0.01816118,0.022701476,0.36565173,0.033379053,0.536555433,0.064413784
113,487,0.671457906,0.328542094,0.723337269,0.229830775,0.014954742,0.031877214,0.313279639,0.00000053,0.603067843,0.083651988
116,367,0.534059946,0.465940054,0.23628692,0.689873418,0.015822785,0.058016877,0.748504745,0.028891916,0.212082464,0.010520875
118,225,0.533333333,0.466666667,0.278364116,0.617414248,0.023746702,0.080474934,0.649547491,0.040711254,0.289180437,0.020560818
120,449,0.730512249,0.269487751,0.767498977,0.180515759,0.015554646,0.036430618,0.277844379,0.031336766,0.671629024,0.019189831
123,136,0.683823529,0.316176471,0.612765957,0.34751773,0.015602837,0.024113476,0.582091602,0.038950123,0.322645011,0.056313264
124,263,0.646387833,0.353612167,0.531053733,0.376133985,0.027913468,0.064898814,0.387319918,0.026706891,0.560606548,0.025366643
126,412,0.754854369,0.245145631,0.777837838,0.144324324,0.01027027,0.067567568,0.152304939,0.041141351,0.678961349,0.127592361
127,595,0.578151261,0.421848739,0.463414634,0.476388168,0.016087182,0.044110016,0.530909837,0.0000506,0.415049497,0.053990066
129,384,0.5390625,0.4609375,0.44079516,0.499567848,0.017286085,0.042350907,0.382577087,0.022427418,0.51080025,0.084195245
130,804,0.503731343,0.496268657,0.226804124,0.692654639,0.011597938,0.068943299,0.639254754,0.025839519,0.257410467,0.07749526
132,347,0.501440922,0.498559078,0.240384615,0.723557692,0.009615385,0.026442308,0.578766575,0.000007,0.361044446,0.060181979
133,939,0.486687966,0.513312034,0.149174917,0.792079208,0.01320132,0.045544555,0.927962741,0.002976262,0.052175378,0.016885619
134,834,0.424460432,0.575539568,0.136396791,0.810357403,0.013858497,0.039387309,0.863441571,0.007753614,0.110142092,0.018662723
135,481,0.494802495,0.505197505,0.073365231,0.891547049,0.012759171,0.022328549,0.817409018,0.014118574,0.135367682,0.033104726
