PRECINCT,TOTVOTE,P_SOTOP,P_TREVINO,P_CHILDR,P_HOMER,P_DERREY,P_CHANG,P_KNAUTZ,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
101,136,0.448529412,0.095588235,0.095588235,0.169117647,0.095588235,0.029411765,0.066176471,0.337066069,0.506159015,0.065509518,0.091265398,0.417594323,0.110961216,0.412341456,0.059103005
102,61,0.459016393,0.06557377,0.049180328,0.114754098,0.147540984,0.049180328,0.114754098,0.664726426,0.258440047,0.027939464,0.048894063,0.537521149,0.026891504,0.388134327,0.04745302
103,111,0.396396396,0.072072072,0.072072072,0.261261261,0.09009009,0.072072072,0.036036036,0.672752809,0.264747191,0.024578652,0.037921348,0.454178167,0.071533512,0.451966512,0.022321809
120,126,0.547619048,0.150793651,0.03968254,0.134920635,0.03968254,0.007936508,0.079365079,0.767498977,0.180515759,0.015554646,0.036430618,0.277973509,0.031387169,0.671470419,0.019168903
123,38,0.526315789,0.210526316,0.052631579,0.131578947,0,0,0.078947368,0.612765957,0.34751773,0.015602837,0.024113476,0.58047559,0.038901506,0.324430437,0.056192467
124,66,0.454545455,0.075757576,0.075757576,0.257575758,0.045454545,0.045454545,0.045454545,0.531053733,0.376133985,0.027913468,0.064898814,0.387093711,0.026708347,0.560653649,0.025544293
126,130,0.569230769,0.1,0.053846154,0.146153846,0.069230769,0.015384615,0.046153846,0.777837838,0.144324324,0.01027027,0.067567568,0.152614056,0.041157582,0.678682703,0.127545659
301,55,0.454545455,0.054545455,0.290909091,0.054545455,0.054545455,0.036363636,0.054545455,0.806451613,0.180351906,0.002932551,0.01026393,0.314895716,0,0.664794777,0.020309507
302,178,0.359550562,0.06741573,0.353932584,0.084269663,0.033707865,0.011235955,0.08988764,0.788754598,0.196531792,0.005780347,0.008933263,0.282316604,0.000104404,0.711521046,0.006057946
303,189,0.35978836,0.116402116,0.238095238,0.095238095,0.08994709,0.010582011,0.08994709,0.804429586,0.182615963,0.000417885,0.012536566,0.36019325,0.004505249,0.63248803,0.002813471
304,90,0.211111111,0.044444444,0.533333333,0.055555556,0.033333333,0.033333333,0.088888889,0.506622517,0.493377483,0,0,0.34091846,8.53E-06,0.659068746,4.26E-06
305,8,0.125,0.125,0.25,0.375,0,0,0.125,0.262295082,0.704918033,0,0.032786885,0.467955043,0.120057039,0.352474495,0.059513423
306,270,0.274074074,0.02962963,0.392592593,0.092592593,0.055555556,0.048148148,0.107407407,0.614712309,0.351784414,0.002913328,0.030589949,0.346219483,0.004834288,0.646529085,0.002417144
307,11,0.090909091,0,0.818181818,0,0.090909091,0,0,0.40625,0.484375,0.015625,0.09375,0.602921519,0,0.366271157,0.030807324
308,1,0,0,0,1,0,0,0,0.4,0.6,0,0,0.651006711,0,0.315436242,0.033557047
501,201,0.427860697,0.2039801,0.119402985,0.07960199,0.074626866,0.069651741,0.024875622,0.8363047,0.138843868,0.01458671,0.010264722,0.207326889,0.006855898,0.73879283,0.047024383
1101,261,0.222222222,0.099616858,0.08045977,0.153256705,0.195402299,0.076628352,0.172413793,0.342963653,0.616029823,0.012115564,0.02889096,0.544788018,0.06488884,0.348752808,0.041570334
1103,249,0.208835341,0.0562249,0.120481928,0.140562249,0.144578313,0.156626506,0.172690763,0.329464286,0.613392857,0.016964286,0.040178571,0.663884752,0.048997552,0.275134603,0.011983093
1701,189,0.486772487,0.121693122,0.195767196,0.084656085,0.058201058,0.026455026,0.026455026,0.85478699,0.13376088,0.001374256,0.010077874,0.202661645,0.001335791,0.79456483,0.001437734
1703,179,0.340782123,0.117318436,0.25698324,0.134078212,0.022346369,0.067039106,0.061452514,0.663027656,0.297671033,0.009461426,0.029839885,0.265261496,0.021213995,0.694725671,0.018798838
1705,358,0.282122905,0.117318436,0.282122905,0.11452514,0.131284916,0.036312849,0.036312849,0.403015075,0.56080402,0.006030151,0.030150754,0.32329231,0.005108201,0.664532276,0.007067213
1706,198,0.48989899,0.111111111,0.202020202,0.101010101,0.025252525,0.045454545,0.025252525,0.77955163,0.196331522,0.003396739,0.020720109,0.304221846,0.004896982,0.669419181,0.021461991
1708,186,0.440860215,0.053763441,0.225806452,0.091397849,0.112903226,0.021505376,0.053763441,0.847038773,0.139752876,0.006391138,0.006817213,0.283116974,0.008990004,0.705313294,0.002579728
2701,162,0.185185185,0.043209877,0.049382716,0.12962963,0.450617284,0.104938272,0.037037037,0.368174727,0.553822153,0.046801872,0.031201248,0.615756621,0.003712982,0.374971008,0.005559389
2702,407,0.189189189,0.068796069,0.105651106,0.085995086,0.378378378,0.095823096,0.076167076,0.334725122,0.620041754,0.020876827,0.024356297,0.688697147,0.046331571,0.241803235,0.023168047
3100,266,0.187969925,0.063909774,0.458646617,0.071428571,0.067669173,0.018796992,0.131578947,0.475063398,0.505494505,0.003381234,0.016060863,0.539627912,0.061489168,0.352897275,0.045985645
3101,145,0.165517241,0.020689655,0.365517241,0.075862069,0.062068966,0.124137931,0.186206897,0.499189627,0.471636953,0.008103728,0.021069692,0.480146988,0.075611088,0.413914392,0.030327532
3104,325,0.236923077,0.076923077,0.110769231,0.095384615,0.301538462,0.123076923,0.055384615,0.4875,0.467105263,0.022368421,0.023026316,0.54148964,0.000387607,0.450106245,0.008016508
3206,375,0.162666667,0.061333333,0.168,0.157333333,0.165333333,0.114666667,0.170666667,0.100441501,0.8598234,0.014348786,0.025386313,0.89245431,0.035151851,0.03710586,0.035287979
3303,104,0.259615385,0.153846154,0.182692308,0.144230769,0.163461538,0.038461538,0.057692308,0.534638554,0.435240964,0.013554217,0.016566265,0.448127963,0.000524695,0.523852023,0.027495319
3304,308,0.194805195,0.061688312,0.146103896,0.12012987,0.084415584,0.211038961,0.181818182,0.216350947,0.751744766,0.012961117,0.01894317,0.709396519,0.000657485,0.209527342,0.080418654
