PRECINCT,TOTVOTE,P_AGUILAR,P_HONEY,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
103,246,0.642276423,0.357723577,0.672752809,0.264747191,0.024578652,0.037921348,0.454178167,0.071533512,0.451966512,0.022321809
104,84,0.726190476,0.273809524,0.750623441,0.193266833,0.017456359,0.038653367,0.329828188,0.001338697,0.663226274,0.005606841
105,191,0.628272251,0.371727749,0.707383774,0.239744758,0.014585232,0.038286236,0.610160494,0.029325512,0.331189211,0.029324783
111,451,0.403547672,0.596452328,0.281456954,0.621854305,0.022516556,0.074172185,0.603247357,0.011586935,0.351482049,0.033683659
123,107,0.691588785,0.308411215,0.612765957,0.34751773,0.015602837,0.024113476,0.58047559,0.038901506,0.324430437,0.056192467
124,229,0.637554585,0.362445415,0.531053733,0.376133985,0.027913468,0.064898814,0.387093711,0.026708347,0.560653649,0.025544293
140,558,0.471326165,0.528673835,0.419827586,0.499568966,0.022413793,0.058189655,0.633120782,0.002398617,0.329589857,0.034890744
143,201,0.587064677,0.412935323,0.532374101,0.425899281,0.007194245,0.034532373,0.541460791,1.89E-08,0.458480941,5.82E-05
150,364,0.510989011,0.489010989,0.394516375,0.543792841,0.021325209,0.040365575,0.720104319,0.064839922,0.204903017,0.010152742
155,573,0.378708551,0.621291449,0.160482375,0.785714286,0.008348794,0.045454545,0.834799719,2.02E-08,0.125145928,0.040054333
156,344,0.514534884,0.485465116,0.482157018,0.468675654,0.014274385,0.034892943,0.431686593,3.51E-05,0.532053988,0.036224327
158,226,0.619469027,0.380530973,0.463529412,0.477647059,0.018823529,0.04,0.756166323,0.00869595,0.226392736,0.008744991
162,173,0.387283237,0.612716763,0.255737705,0.678688525,0,0.06557377,0.858639711,0.000284253,0.100266319,0.040809717
175,279,0.408602151,0.591397849,0.189045936,0.754416961,0.003533569,0.053003534,0.834772944,0,0.125153176,0.04007388
301,135,0.666666667,0.333333333,0.806451613,0.180351906,0.002932551,0.01026393,0.314895716,0,0.664794777,0.020309507
302,380,0.573684211,0.426315789,0.788754598,0.196531792,0.005780347,0.008933263,0.282316604,0.000104404,0.711521046,0.006057946
303,430,0.61627907,0.38372093,0.804429586,0.182615963,0.000417885,0.012536566,0.36019325,0.004505249,0.63248803,0.002813471
304,163,0.460122699,0.539877301,0.506622517,0.493377483,0,0,0.34091846,8.53E-06,0.659068746,4.26E-06
305,18,0.333333333,0.666666667,0.262295082,0.704918033,0,0.032786885,0.467955043,0.120057039,0.352474495,0.059513423
306,513,0.532163743,0.467836257,0.614712309,0.351784414,0.002913328,0.030589949,0.346219483,0.004834288,0.646529085,0.002417144
307,35,0.371428571,0.628571429,0.40625,0.484375,0.015625,0.09375,0.602921519,0,0.366271157,0.030807324
308,3,0,1,0.4,0.6,0,0,0.651006711,0,0.315436242,0.033557047
501,450,0.7,0.3,0.8363047,0.138843868,0.01458671,0.010264722,0.207326889,0.006855898,0.73879283,0.047024383
901,234,0.777777778,0.222222222,0.893939394,0.098124098,0.000721501,0.007215007,0.13831501,0.00252346,0.847930361,0.011231169
1101,579,0.348877375,0.651122625,0.342963653,0.616029823,0.012115564,0.02889096,0.544788018,0.06488884,0.348752808,0.041570334
1103,470,0.34893617,0.65106383,0.329464286,0.613392857,0.016964286,0.040178571,0.663884752,0.048997552,0.275134603,0.011983093
1501,479,0.363256785,0.636743215,0.209916291,0.742433999,0.00901481,0.0386349,0.852283922,0.000694129,0.102489545,0.044532404
1502,723,0.309820194,0.690179806,0.087596356,0.878065872,0.010511563,0.023826209,0.902094265,0.006321537,0.045319304,0.046264894
1503,609,0.287356322,0.712643678,0.084896347,0.879565647,0.012833169,0.022704837,0.866422448,0.004484942,0.109449564,0.019643046
1504,681,0.343612335,0.656387665,0.123265306,0.844897959,0.009795918,0.022040817,0.934930952,0.018615274,0.023227143,0.023226631
1701,416,0.627403846,0.372596154,0.85478699,0.13376088,0.001374256,0.010077874,0.202661645,0.001335791,0.79456483,0.001437734
1703,397,0.511335013,0.488664987,0.663027656,0.297671033,0.009461426,0.029839885,0.265261496,0.021213995,0.694725671,0.018798838
1705,554,0.400722022,0.599277978,0.403015075,0.56080402,0.006030151,0.030150754,0.32329231,0.005108201,0.664532276,0.007067213
1706,494,0.649797571,0.350202429,0.77955163,0.196331522,0.003396739,0.020720109,0.304221846,0.004896982,0.669419181,0.021461991
1708,356,0.615168539,0.384831461,0.847038773,0.139752876,0.006391138,0.006817213,0.283116974,0.008990004,0.705313294,0.002579728
2101,456,0.719298246,0.280701754,0.790720155,0.109231513,0.079265346,0.020782986,0.198664605,0.044692277,0.737055617,0.019587501
2102,360,0.663888889,0.336111111,0.683251577,0.195515067,0.101611773,0.019621583,0.23719643,0.114744798,0.59272444,0.055334332
